ActorID,FirstName,LastName,IsMale,BirthYear,BirthLocation,DeathYear,DeathLocation
2328848,Brain,Wallace,True,,,,
1804291,Mike (VI),Ramirez,True,,,,
687443,Emma Jane,Lavin,False,,,,
572601,Kandi,James,False,,,,
1715237,Marko,Perkovic,True,,,,
588627,Jrgen,Draeger,True,1940,Berlin - Germany,,
230997,Ken,Bondy,True,,,,
1913746,Richard (V),Russell,True,,,,
765673,Emma,Marcegaglia,False,,,,
2037072,Paul (X),Silva,True,,,,
345585,Marian,Eichinger,False,,,,
1573493,Bev,Narinesingh,True,,,,
583961,Zhu (III),Jin,False,,,,
1491420,Toyokazu,Minami,True,,,,
1746358,Tony,Plana,True,1952,Havana - Cuba,,
410339,John (XXIX),Clarke,True,,,,
882718,Zanelle,Negide,False,,,,
1169565,Gary,Knoll,True,,,,
530338,Elvie,Hoagland,False,,,,
2363056,Miles,Westall,True,,,,
713796,Miss,Lily,False,,,,
159380,Jolanta,Brzezinska,False,,,,
352156,Alexandre,Cascardo,True,,,,
1055328,Adriana,Rossal,False,,,,
1311691,Kent (II),Lopez,True,,,,
1508730,Matt,Mollon,True,,,,
1934625,Reijo (II),Salminen,True,1945,Iitti - Finland,,
1932735,Nicola (I),Salerno,True,,,,
1506894,Steve,Mokris,True,,,,
2072065,Robert,Smuts,True,,,,
229415,Kathrin,Clifton,False,,,,
1146382,Casey (XXV),Smith,False,,,,
145776,Joshua,Bartels,True,,,,
629178,Bruce,Eleven,True,,,,
1961685,Sean (I),Say,True,,,,
1702015,Tadhg,Peavoy,True,,,,
448622,Alexis (III),Gomez,False,,,,
1023558,Mara Luz de,Reyes,False,,,,
1849618,Markus,Riedinger,True,,,,
1253723,Ryan,Lecoyer,True,,,,
1524184,Ralph,Moratz,True,1931,Berlin - Germany,2016,Los Angeles - California - USA
1676394,Adrian,Paoletti,True,,,,
251743,Isla Marie Elizabeth,Coutts,False,,,,
952486,Shaun,Higgs,True,,,,
35914,Alex,Andra,False,,,,
896249,Christine (III),Nixon,False,,,,
1212073,Gerd,Kfer,True,1932,Munich - Bavaria - Germany,2015,Munich - Bavaria - Germany
676155,Kim,Lamorie,False,,,,
525602,Emil,De Varney,True,1881,France,,
254292,Barbara,Crancer,False,,,,
837890,Chris (IX),Green,True,,,,
103737,Ulla,Berkvicz,False,1951,Gieen - Germany,,
959695,Shingo,Hiromori,True,,,,
892693,Pirjo,Niemenmaa,False,,,,
52109,,Ashjan,False,,,,
1753540,Phil (I),Pollard,True,,,,
2109507,Henry,Steimer,True,,,,
252358,Martha L.,Cowen,False,,,,
16954,Angela,Aldana,False,,,,
474530,Kio,Cuddy,True,,,,
208750,Caroline (I),Charles,False,,,,
1199869,Mar.,Ktoros,True,,,,
705627,Lawrence Wiley,Flynn,True,,,,
1197998,Franois,Krug,True,,,,
760460,Plcid,Garcia-Planas,True,,,,
1697951,Milos (I),Pavlovic,True,,,,
1593240,Ha Phong,Nguyen,True,,,,
717572,Laura Ann,Linkletter,False,,,,
473795,Vilmos,Csnyi,True,,,,
2245530,James,Tupper,True,1965,Dartmouth - Nova Scotia - Canada,,
1736863,Jean,Pietrek,True,,,,
171481,Miles,Bellas,True,1967,Wigan - England - UK,,
118644,Kristjan,Bajec,True,,,,
318438,Anna,Doll,False,,,,
2265510,Claudio,Valdovinos,True,,,,
170589,Micheal,Bell,True,,,,
1500177,Jacque,Mittendorf,True,,,,
625380,Charles,Eisenhower,True,,,,
2310575,Benjamin,Voelker,True,,,,
2117377,Tommy (II),Steward,True,,,,
2447772,Kamal,Zayed,True,,,,
242120,Alain,Boublil,True,1941,Tunis - Tunisia,,
1753379,Lance,Polland,True,1976,Anaheim - California - USA,,
2001995,Pepe Puche,Serrano,True,,,,
1341366,Sean (II),MacGregor,True,,,,
158146,Ingrid,Bruns,False,,,,
593323,Alan (III),Drury,True,,,,
2016391,Walter,Shefchyk,True,,,,
1045561,Mike,Jankowitz,True,,,,
1274320,Jrme,Leucailletel,True,,,,
314627,Leandro,Cabral,True,,,,
1132961,Telma (III),Silva,False,,,,
412866,Michael (XII),Cleary,True,,,,
153343,Coffee (I),Brown,False,1987,Atlanta - Georgia - USA,,
573359,,Jamily,False,,,,
11591,James,Adamouski,True,,,,
87317,Prakash,Arora,True,,,,
648361,Kayano,Komaki,False,,,,
1121728,Friedhardt,Kazubko,True,,,,
288308,Peter,Brzezinski,True,,,,
1058017,Jocelyn,Roux,False,,,,
319118,Lauren Santo,Domingo,False,,,,
1295931,Jesse,Liskola,True,,,,
129520,Rasik,Banerjee,True,,,,
1141158,Kate,Skellern,False,,,,
379775,Michael Coen,Chase,True,1979,Edmonton - Alberta - Canada,,
998211,Natalie,Quinones,False,,,,
400845,Brett,Chukerman,True,1981,Chicago - Illinois - USA,,
145217,Jola,Brendl,False,,,,
848575,Jo,Grimond,True,1913,St. Andrews - Fife - Scotland - UK,1993,Orkney - Scotland - UK
1379656,Karim Mohamed,Marie,True,,,,
11973,Charles (X),Adams,True,,,,
2026162,O.,Shkobal,True,,,,
303123,Lalan,Desai,False,,,,
2091119,Randy (I),Spence,True,1975,High Point - North Carolina - USA,,
1147360,Eight,Killers,True,,,,
541272,Melanie,DeMicco,True,,,,
757115,Robert Ben,Garant,True,1970,Cookeville - Tennessee - USA,,
1558443,,Muthuraman (V),True,,,,
61113,Oihana,Azpillaga De Coster,False,,,,
512461,Johanna,Heinonen,False,,,,
451787,Cameron,Cosgrove,True,,,,
690550,Mike,Fincke,True,1967,Pittsburgh - Pennsylvania - USA,,
997257,Laura,Quezada,False,,,,
2389183,Chuck (II),Willis,True,1928,Atlanta - Georgia - USA,1958,Atlanta - Georgia - USA
798239,Steven,Gitlin,True,,,,
1152320,Wendy,Snyder,False,,,,
