ID,Title,Year,EndYear,Genre,Budget (EUR),Gross (EUR),FilmingDays,Language,Locations,Countries,Rating,Duration
3080050,Fitness on the Move,1991,1991,Documentary,,,,English,,UK,,
3080051,Fitness on Trial,1983,1983,Documentary*Short,,,,,,Canada,,
3080052,Fitness Over Forty,1991,1991,Documentary,,,,English,,UK,,
3080053,Fitness Sluts 1,2004,2004,Adult,,,,English,,USA,,
3080054,Fitness Tips with Jack Brisbane,2010,2010,Comedy*Short,,,,English,,,,
3080055,Fitness Wins: 4 and 20 Fit Girls,1940,1940,Documentary*Short,,,,English,,UK,,
3080056,Fitness Witness,2015,2015,Short,,,,Romanian,,Romania,,
3080057,Fitness-Workout mit Jrgen Drews,2008,2008,Documentary,,,,German,,Germany,,
3080058,Fito & Pitchi,2013,2013,Comedy*Short,,,,Spanish,,Spain,,
3080059,Fito y Bety,2003,2003,Short,138,,,Spanish,Aguascalientes - Aguascalientes - Mexico,Mexico,,
3080060,Fito Y Fitipaldis: Antes De Que Cuente Diez,2010,2010,Music*Short,,,,Spanish,,Spain,,
3080061,Fitoor,2008,2008,Music*Short,,,,Hindi,,India,,
3080062,Fitoor,2016,2016,Drama*Romance,8500189,633779,,Hindi*Urdu,Krakw - Malopolskie - Poland*Brzesko - Malopolskie - Poland*Filmistan Studios - Mumbai - Maharashtra - India,India,5.4,
3080063,Fitri,2013,2013,Drama*Short,,,,Indonesian,,Indonesia,,
3080064,Fits & Starts,2002,2002,Comedy*Short,,,,English,North Hollywood - Los Angeles - California - USA,USA,8.0,
3080065,Fits,1915,1915,Comedy*Short,,,,,,UK,,
3080066,Fits,2004,2004,Drama*Short,47223,,,English,Los Angeles - California - USA	(exteriors),USA,8.2,15
3080067,Fits and Benefits,1938,1938,Comedy*Music*Short,9445,,,English,New York City - New York - USA,USA,,20
3080068,Fits and Chills,1915,1915,Comedy*Short,,,,English,,USA,,
3080069,Fits and Misfits,1910,1910,Comedy*Short,,,,,,UK,,
3080070,Fits and Starts,2002,2002,Romance,,,,English,,USA,6.5,
3080071,Fits and Starts,2016,2016,Comedy,,,,English,,USA,,
3080072,Fits and Starts of Restlessness,2012,2012,Short,4689,,,English,London - England - UK,UK,,
3080073,Fits in a Fiddle,1933,1933,Comedy*Short,,,,English,,USA,5.6,15
3080074,Fitted,2014,2014,Drama*Family*Short,,,,English,,USA,,
3080075,Fitter Happier,2011,2011,Music*Short,94,,,English,,USA,,
3080076,Fittest on Earth: The Story of the 2015 Reebok CrossFit Games,2016,2016,Documentary*Sport,,,,English,,USA,7.1,
3080077,Fitting,2006,2006,Adult*Short,,,,None,,Russia,,
3080078,Fitting,2008,2008,Comedy*Short,,,,English,,USA,,
3080079,Fitting,2012,2012,Comedy*Drama*Short,,,,English,,USA,,
3080080,Fitting a Fireman for His Work,1901,1901,Documentary*Short,,,,English,,UK,,
3080081,Fitting in,1981,1981,Documentary,,,,English,,USA,,
3080082,Fitting in,2011,2011,Animation*Family*Short,,,,English,,Canada,,
3080083,Fitting In,2013,2013,Short*Thriller,,,,English,Guaynabo - Puerto Rico,Puerto Rico,,
3080084,Fitting In,2016,2016,Drama*Short,,,,English,Union City - California - USA	(school),USA,,
3080085,Fitting Master,2009,2009,Action*Comedy*Crime*Drama,,,,Telugu,,India,5.5,
3080086,Fitting Room,2012,2012,Drama*Family*Horror*Short,,,,Korean,,South Korea,,
3080087,Fitting the Description in North Portland,2015,2015,Documentary*News,,,,English,,USA,,
3080088,Fitting the Print,2015,2015,Drama*Short,,,,English,,USA,,
3080089,Fitues,1968,1968,Action,,,,Albanian,,Albania,,
3080090,Fitz,2007,2007,Drama,7021,,,English,Edmonton - Alberta - Canada,Canada,,93
3080091,Fitz,2011,2011,Comedy*Musical*Romance*Short,,,,,Idyllwild - California - USA,USA,6.1,
3080092,Fitz,2013,2013,Adventure*Documentary*Family*Short*Sport,,,,English,,USA,,
3080093,Fitz and Slade,2013,2013,Comedy,9445,,,English,Los Angeles - California - USA,USA,9.4,
3080094,Fitz and the Tantrums: See More - LA with Fiat,2014,2014,Music*Short,,,,English,,USA,,
