ActorID;Name;IsMale;BirthYear;BirthLocation;DeathYear;DeathLocation
1935359;Frank Salsedo;True;1929;Santa Rosa, California, USA;2009;Manteca, California, USA
174714;Farouk Benalleg;True;;;;
507393;Ferris Davis Jr.;True;;;;
1622253;Fred (IV) O'Connor;True;;;;
1923243;Flix Sabroso;True;;;;
758676;Francisco Ernesto Garcia;True;;;;
930563;Farah Pahlawi;False;;;;
1549970;Florent Munoz;True;;;;
890223;Frances Nichols;False;;;;
452302;Felicity Goodman;False;;;;
1793712;Fabio Rabello;True;;;;
387677;Fan Cheung;True;;;;
133792;Flint Barber;True;;;;
2364382;Fred Westphal;True;;;;
718611;Frank (I) Fox;True;;;;
2144159;Florenci Surroca;True;;;;
1337592;Frank Ma;True;;;;
1767124;Fabrizio (I) Prada;True;1972;Louvain, Belgium;;
1167184;Frank Knaggs;True;;;;
2336443;Francisco Wanzeller;True;;;;
1093533;Finta Jzsef;True;;;;
476115;Frank Cullotta;True;;;;
481892;Frank Cutter;True;;;;
1473838;Fuwen Miao;True;;;;
172088;Francesca (I) Bellino;True;;;;
607137;Fidelmar Durn;True;;;;
359527;Florin Catalina;True;;;;
1958707;Franois Sauvageot;True;;;;
2350158;Franz (V) Weber;True;;;;
73875;Franklin Anyanwu;True;;;;
1686255;Frank (IV) Parrish;True;;;;
252757;Fran Cox;False;;;;
1209423;Felicia Tassone;False;1989;East Meadow, Long Island, New York, USA;;
134272;Francesca Botti;False;;;;
1993656;Felix Seibert-Daiker;True;;;;
1189152;Fatih Koyunoglu;True;;;;
380877;Frdric Chau;True;;;;
396250;Fai (I) Chow;True;;;;
937723;Frank Pat Henry;True;;;;
665933;Farias;True;;;;
1016034;Francisco Illa;True;;;;
801701;Francesca McGrory;False;;;;
1645182;Ferdinand Onno;True;1881;Czernowitz, Bukovina, Austria-Hungary [now Chernivtsi, Ukraine];1969;Vienna, Austria
237073;Florence Collomb;False;;;;
488754;Fatima (II) Hameed;False;;;;
519414;Fidel de la Cruz;True;;;;
607306;Florentin Duse;True;;;;
712962;Friday Night Lights;False;;;;
1744588;F. Pittaluga;True;;;;
2392024;Frank (XII) Wilson;True;;;;
968464;Fred Hoiberg;True;;;;
664240;Fang (VI);True;;;;
429795;Flix Colmn;True;;;;
1035699;Francis (I) Jacobs;True;;;;
330179;Frdric Caneiro;True;;;;
1854190;Felipe (II) Rios;True;;;;
1401609;Francesco Masciandaro;True;;;;
594740;Frank Dubbe;True;;;;
1739013;Flavio Pimenta;True;;;;
1681164;Fabio Parisi;True;;;;
1451678;Friedrich Mechow;True;;;;
637300;Faruk Emre;True;;;;
365490;Fabienne (VII);False;;;;
2453529;Furun Zhu;True;;;;
607995;Ferda Kanelik;False;;;;
228047;Florence Clayton;False;;;;
690943;Franco Finelli;True;;;;
1523469;Frank (I) Moran;True;1887;Cleveland, Ohio, USA;1967;Hollywood, California, USA
617831;Felicity KcKee;False;;;;
1201497;Frank Kuenstler;True;;;1996;Manhattan, New York, USA
285723;F. Bruno;True;;;;
931165;Fannie Paitel;False;;;;
693073;Fabian Fippl;True;;;;
273499;Franklin Brooks;True;;;;
91970;Francine Beers;False;1924;New York City, New York, USA;2014;New York City, New York, USA
690310;Franoise Le Cosset;False;;;;
2212060;Francois (I) Tizon;True;;;;
2093567;Frank Spinetta;True;;;;
2295560;Fabin Vertiz;True;;;;
1587385;Filipe Neto;True;;;;
897208;Fazlul (I) Haque;True;;;;
1262988;Friedrich Lehn;True;;;;
866070;Fidel Rios Gutierrez;True;;;;
828132;Fernando Gracia;True;;;;
857654;Fernando (V) Guerrero;True;;;;
122066;Frdric Bal;True;;;;
