ActorID;Name;IsMale;BirthYear;BirthLocation;DeathYear;DeathLocation
1677740;Hendrik Pape;True;;;;
1563698;Hans Mhlhofer;True;1878;Berlin, Germany;1932;Berlin, Germany
1169891;Henry Knotts;True;;;;
2334966;Huilin Wang;True;;;;
2182453;Herenui Teihotu;True;;;;
610422;Hans Dymsesen;True;;;;
128754;Helen Bongers;False;;;;
2115805;Henry (I) Stevens;True;;;;
243429;Hassan Boulaarok;True;;;;
1943885;Haktor Sandhu;True;;;;
1224687;Harper Lambert;True;;;;
978368;H. Polyhroniadou;False;;;;
2294055;Harish (II) Verma;True;;;;
135009;Hctor Barca;True;1979;Madrid, Spain;;
670583;Helen Lacey;False;;;;
1571086;Hishiko Namamoto;True;;;;
984755;Holly Pownall;False;;;;
1275259;Hugh Levenbach;True;;;;
573424;Halil Dogan;True;;;;
354399;Haylie (II) England;False;;;;
504559;Howard (I) David;True;;;;
783597;Henry Geywu;True;;;;
1850306;Hugo Alexander van Riet;True;;;;
1019986;H. Remo-Nelsen;False;;;;
225343;Hans Christian Boger;True;;;;
335768;Horacio Carballal;True;;;;
1215012;Heikki Laapio;True;;;;
250370;Heidi Cotton;False;;;;
986418;Hakob Hovhanissyan;True;;;;
317826;Howard (II) Caine;True;;;;
568693;Hawke Dixon;True;;;;
265619;Hctor Briceo;True;;;;
115958;Holly Lars Bjarke;False;;;;
185665;Henrik (I) Bergstrm;True;;;;
991676;Hristina Psalti;False;;;;
1763849;Henri Poulle;True;;;;
191075;Henrique Bersani;True;;;;
2110792;Hartmut Steinhauer;True;;;;
1765076;Henry (I) Powell;True;;;;
2102295;Hartmut Stanke;True;;;;
565387;Hai Ngyen Dinh;True;;;;
310000;Hazel Dickens;False;1935;Montcalm, West Virginia, USA;2011;Washington, District of Columbia, USA
1077617;Hayden (IV) Jones;True;;;;
571433;Helena Jakabov;False;;;;
463425;Henry (I) Crawford;True;1947;Victoria, Australia;;
548331;Heidi Desilva;True;;;;
939925;Herbie (VII);True;1963;Wolfsburg, Germany;;
1244304;Hung (III) Tse;False;;;;
372524;Holly Fay;False;;;;
995831;Helena Pllnen;False;;;;
1597767;Helmut Niekamp;True;1933;Voxtrup, Germany;2015;Osnabrck, Germany
337306;Hugo (III) Cardoso;True;;;;
109206;Henk Baas;True;;;;
1970317;Hans-Dieter Schlegel;True;1925;Halle/Saale, Germany;1987;Bautzen, German Democratic Republic
1410798;Hayate Matsuzaki;True;;;;
931580;Hans Karl Hell;True;;;;
2244003;Heikki Tukonen;True;;;;
251270;Haluk Bozgeyikli;True;;;;
1125280;Hye-jin Shim;False;1967;Seoul, South Korea;;
994035;Harry (IV) Hudson;True;;;;
1810378;Howie Ranzer;True;;;;
746545;Heather (I) MacDougall;False;;;;
305092;Herbert Buschleb;True;;;;
1760067;Heavenly Porter;True;;;;
511298;Hilde Hefte;False;;;;
262769;Holly Cunningham;False;;;;
762632;Herb Garden;True;;;;
701348;H. Lembesi;False;;;;
1256506;Hogan Lee;True;;;;
502141;Heather Hartstein;False;;;;
1108563;Hseyin Karadayi;True;;;;
395921;H.N. Choudhury;True;;;;
1071981;Heather Saffer;False;;;;
769051;Helen Marie;False;;;;
1581586;Hemas Nata Negari;True;;;;
773659;Hayley Marriott;False;;;;
556391;Helena Ibraguimova;False;;;;
1501735;Hiro Mizushima;True;1984;Tokyo, Japan;;
964140;Homer Hodge;True;;;;
1253286;Hana Ulrichov;False;;;;
2189463;H.G. Th.Keune;True;;;;
1209471;Harold D. Kuykendall;True;;;;
522237;Helen Hester;False;;;;
2156912;Hctor (IV) Snchez;True;;;;
719431;Helen (II) Liston;False;;;;
2114386;Henry (III) Stern;True;;;;
909438;Hannah O'Sullivan;False;;;;
926041;Hadda Oukhbouz;False;;;;
32314;Hannah (XIII) Anderson;False;;;;
