ActorID;Name;IsMale;BirthYear;BirthLocation;DeathYear;DeathLocation
2037038;Ocean Peace Silva;True;;;;
136028;Onique Bourne;False;;;;
483097;Oskar Czerwenka;True;1924;Vcklabruck, Austria;2000;Vcklabruck, Austria
588455;Olivia (I) Johnson;False;;;;
1858152;Oscar (VIII) Rivera;True;;;;
1093266;Osvald Jfs;True;;;;
60072;Olive M. Ayhens;False;;;;
1725687;Ole S. Pettersen;True;;;;
1358549;Olga Zasulskaya;False;;;;
1236084;Olivier Laronde;True;;;;
248529;Osman Box;True;;;;
1643682;Omar (XLIII);True;;;;
1262179;Omar Legor;True;;;;
821158;Olga Meze;False;;;;
2204728;Onni Thulesius;True;;;;
749170;Olivia Macomber;False;;;;
130226;O. Banke Paulu;True;;;;
670527;Ole Faurschou;True;;;;
632527;Ok-ji Kim;False;;;;
2345648;Owen Watson;True;;;2005;ctober 2005
1506355;Olesya Moiseeva;True;;;;
2451379;Oleg Zhakov;True;1905;Sarapul, Vyatka Governorate, Russian Empire [now Udmurtia, Russia];1988;Pyatigorsk, Stavropol Krai, RSFSR, USSR [now Russia]
2135703;Octavio Suarez;True;;;;
782313;Olya Masek;False;;;;
2044286;Orhan Simsec;True;;;;
99566;Olive (I) Bennett;False;;;;
2157237;Omar (I) Snchez;True;;;;
1213377;Ole Khling;True;;;;
137933;Ophelia Boxley;False;;;;
902055;Olga Novova;False;;;;
657894;Ofo Ezeugwu;True;;;;
507411;Owen Davis Jr.;True;1907;New York City, New York, USA;1949;Long Island Sound, New York, USA
80150;Ophelia Barron;False;;;;
576506;Olly Jasen;False;;;;
727181;Ojerku Fred;True;;;;
291035;Owen Buckley;True;;;;
105851;Ozan Aydemir;True;;;;
899809;Olah (II) Norman;False;;;;
738347;Olga Crafoord Lundell;False;;;;
8939;Octavio Aceves;True;;;;
2273051;Otwin van Dijk;True;;;;
1911269;Olli Ruottinen;True;;;;
1657074;Ottawan;True;;;;
1102177;Ognyan Kamenarski;True;;;;
1948730;Oscar Santillanes;True;;;;
2072333;Orri Smrason;True;;;;
2242102;Omar Tubau;True;;;;
2267165;Oscar Valenzuela;True;;;;
914630;Omer Hassan;True;;;;
14902;Oshinboyejo Adeniyi;True;;;;
1271940;Olivier (I) Leroux;True;;;;
1748657;Oleg Plotnikov;True;;;;
1098259;Olavi Kajander;True;;;;
229792;Ozren Bonacic;True;;;;
