ActorID;Name;IsMale;BirthYear;BirthLocation;DeathYear;DeathLocation
564;7 Chapters;True;;;;
1065493;'Honey Boy' Johnson;True;;;;
306;101DarkMonkeys;True;;;;
293;1. Innviertler Bauernkapelle Solinger;True;;;;
949086;'Wild' Bill Heydens;True;;;;
1133787;'Kenji' Gallo Kenny;True;;;;
554;69 Boyz;True;;;;
2060991;'Legs' Larry Smith;True;1944;Oxford, Oxfordshire, England, UK;;
315;12 Midnite;True;;;;
1064329;'Taffy' John;True;;;;
322;13th Committee;True;;;;
507434;'Blackie' Chris Davis;True;;;;
1627463;'TJ' Tijideen O'Rowley;True;;;;
563;6th Sense;True;;;;
129;'Raff';True;;;;
397;2Face;True;;;;
1366565;[Impro]jekt;False;;;;
240599;'Bluey' Bostock;True;;;;
781793;'La Doa' Mara;False;;;;
266032;'Sonny Boy' Bridges;True;;;;
672203;'Spike' Featherstone;True;;;;
561;6Cyclemind;True;;;;
7;'67 Impala;False;;;;
320838;'Choo-Choo Charlie' Callaci;True;;;;
1511749;360 Monkeys;True;;;;
2125554;'Big' Dale Storm;True;;;;
1901543;'Schoolboy' Rowe;True;1910;Waco, Texas, USA;1961;El Dorado, Arkansas, USA
2406783;'Nanna' Wood;True;;;;
964608;'Smokey Tom' Hodgins;True;;;;
1698847;'Sunshine' Sonny Payne;True;;;;
327;15-50;True;;;;
764982;'Buck' Garner;True;;;;
960946;'Mozey' Hitches;True;;;;
377;2004 Olympic Water Polo Team;True;;;;
1961009;'Reb' Sawitz;True;1944;Los Angeles, California, USA;;
1050364;'E.' Jay;True;;;;
861191;'Jade' Susette Moyers;False;;;;
584;85mm Zeiss;True;;;;
1820058;20th Century Rebels;True;;;;
515;5 in Love;True;;;;
2060988;'Bonkers Bongo' Neil Smith;True;;;;
1701263;'Cosmic' Dave Pearson;True;;;;
614101;94 East;True;;;;
2282910;'Butch' Vart Varteresian;True;;;;
1097875;'Porky' Albert Kaiser;True;;;;
693690;'Hak Mui' Lai-Ha Lee;False;;;;
2425427;'Weird Al' Yankovic;True;1959;Downey, California, USA;;
304;101 Ranch Cowboys;True;;;;
10821;'Red' Adair;True;1915;Houston, Texas, USA;2004;Houston, Texas, USA
930275;'Seedy' Heinz;True;;;;
441049;!Mystery Girl!;False;;;;
351896;'La Viejita' Elvira;False;;;;
1871182;'Mad' Marty Rockatansky;True;;;;
164881;'Tex' Burk;False;;;;
355;2 Chainz;True;1977;College Park, Georgia, USA;;
717697;'Deacon' Sam Fowler;True;;;;
551584;'Wild' Bill Devlin;True;;;;
2087992;'Don Pasquale' Spadea;True;;;;
1252705;'Ilisapesi Uitalia;False;;;;
432429;1910 Fruitgum Company;True;;;;
301540;3rd Degree (I) Burns;True;;;;
433766;'Tall' Sunita Ghale;False;;;;
432;3-Fach Zithrig;True;;;;
661168;'Big Time Hustler' Fairfield;True;;;;
1497276;'Big Boo' Brett Mitchell;True;;;;
659046;'Tobba' Thorbjorg Valdis Kristjansdottir;False;;;;
411179;'Tutti' Maria del Rosario Furlan;False;;;;
482;40 Drag Queens;True;;;;
470;4 Sound;True;;;;
567;7 Seconds;True;;;;
439177;'Crazy' Bob Cook;True;;;;
1673831;'Triforce' Mike Pandel;True;;;;
1161458;'Arycyn Al' Almaz Kizee;True;;;;
1314910;'D.J.' Loti;True;;;;
487775;'Big' Joe Dabliz;True;;;;
2060992;'Speedie' Smith;True;;;;
215633;'Trader' Vic Blankenship;True;;;;
1406345;'Styno' Mubi Matadi;True;;;;
1344678;'Mack' Shellie Mackson;True;;;;
1802555;'Atlas' Ramachandran;True;;;;
2198765;'JT' Julian Thompson;True;;;;
1682472;'Rusty' Parker;True;;;;
469;4 Real;True;;;;
416366;4 Clubbers;True;;;;
777091;7 the General;True;;;;
363;2 Unlimited;True;;;;
636102;'Eddie Spaghetti' Emerson;True;;;;
347;1996 Olympic Water Polo Team;True;;;;
1278329;'Sketchy' Andy Lewis;True;;;;
1983905;'Chilli' Sciarratta;True;;;;
813174;2spee Gonzales;True;;;;
302920;'Big' Mike Burrelle;True;;;;
1862079;'Midget' Mike Roberts;True;;;;
885365;'Diamond' Jim Halter;True;;;;
2413367;'Big' Bill Wright;True;;;;
