ActorID;Name;IsMale;BirthYear;BirthLocation;DeathYear;DeathLocation
1098127;Victor Kaiser-Pendergrast;True;;;;
1505555;Visal Mohanan;True;;;;
710143;Viveke Len;False;;;;
1526622;Vctor (I) Moreno;True;;;;
1258552;Vannya Valencia;False;;;;
1266520;Vanessa (XXXII);False;;;;
1282584;Vanessa Virgin;False;1983;Hungary;;
1268764;Vasanti (II);False;;;;
507102;Victor (II) Davies;True;;;;
2261612;Vaishak Uthaman;True;1990;Muvattupuzha, Kerala, India;;
1150851;Vera Smolina;False;;;;
903979;Vuyelwa Nyakaza;False;;;;
1784637;Viljam Pylks;True;;;;
323345;Vincent Camacho;True;;;;
1457751;Vilmos Meleg;True;1956;Camr, Romania;;
1692060;Vikas Pandurang Patil;True;;;;
1182098;Veronika Strachov;False;;;;
1631759;Vasiko Odishvili;True;;;;
307767;Valentina Di Paola;False;;;;
1513991;VonDexter Montegut;True;;;;
605400;Valentine Duran;True;;;;
473937;Victor O. Cuadrado;True;;;;
878294;Vince Haiko;True;;;;
869855;Vanesa (II) Muoz;False;;;;
510777;Victoria Hedgcombe;False;;;;
2314776;Von Wechsberg;True;;;;
1809825;Vladimir Rankovic;True;;;;
2172120;Victor Tardian;True;;;;
1705393;Vernard Pelage;True;;;;
1059850;Viktor Jilkov;True;;;;
66682;Vassia Bakakou;False;;;;
259661;Van Brautigam;True;;;;
584983;Virginia Johal;False;;;;
589562;Vernon Drake;True;1896;Gateshead, Tyne & Wear, England, UK;1987;Kensington, London, England, UK
469869;Victoria (II) Gross;False;;;;
300402;Vyacheslav Burlachko;True;;;;
2347935;Vihai Weangyanggoong;True;;;;
941994;Vivica Parsons;False;;;;
271713;Vanessa Brogden;True;;;;
1580682;Vuk Nedeljkovic;True;;;;
728615;Valeria Uribe Lopez;False;;;;
839653;Veena Mohan;False;;;;
2060122;Vladimr Smetana;True;;;;
2425622;V. Yanovsky;True;;;;
1271410;Vladimr Leraus;True;1905;Beroun, Bohemia, Austria-Hungary [now Czech Republic];1991;Prague, Czechoslovakia [now Czech Republic]
1266061;Victoria Vanderkloot;False;;;;
530426;Vonshari Hoardes;False;;;;
973692;Violante Placido;False;1976;Rome, Lazio, Italy;;
2034648;Vkingur Sigursson;True;;;;
1275009;Vivian Verkooy-Puppe;False;;;;
2294400;Vincent Victor Vermiert;True;;;;
2309814;Vladimir (IX);True;;;;
2317164;Valerios Vrontis;True;;;;
2083627;Voldemars Sorins;True;;;;
1245563;Vi Tu;False;;;;
1725131;Vojislav Petrovic;True;;;;
860170;Vivian Moulton;False;;;;
550276;Vikram Dev;True;;;;
957770;Valerie Danielle Perri;False;;;;
223316;Vittoria Cimarra;False;;;;
1015913;Vladimir (III) Ilin;True;;;;
153831;Voddie Baucham;True;;;;
1151523;Vera Snellebrand;False;;;;
1625994;Vic O'Neal;True;;;;
183281;Valentina Capeletti;False;;;;
1270338;Victor Leonhardt;True;;;;
1955289;Vclav Sasek;True;;;;
1189708;Vivi Sumanti;False;;;;
1887777;Victor Ronquillo;True;;;;
1363444;Valter Malosti;True;;;;
606353;Vladimir Durin;True;;;;
863813;Vic Gupta;True;;;;
716703;Valerie Lindsay;False;;;;
503867;Vittorio Daverio;True;;;;
636720;Vanessa Kiriakou;False;;;;
1259687;Vera Valge;False;;;;
742481;Vicky Lyon;False;1956;Los Angeles, California, USA;2008;Grass Valley, California, USA
64385;Vaggelis Andreou;True;;;;
856997;Vivian Morrison;False;;;;
2300784;Vijay (XXIX);True;;;;
602378;Vij Kaewsanan;False;;;;
1444124;Val McLay;True;;;;
2308217;Vitale;True;;;;
