ActorID;Name;IsMale;BirthYear;BirthLocation;DeathYear;DeathLocation
1172435;Willard Koch;True;;;;
519679;Walter de la Gala;True;1953;Mexico City, Distrito Federal, Mexico;;
2077453;Wojciech (I) Solarz;True;1934;Krakw, Malopolskie, Poland;;
633488;Will (V) Ellis;True;;;;
1068470;Wendy Rdstrm;False;;;;
436317;Wanetta Gibson;False;;;;
839862;William B. Green;True;;;1926;Utica, New York, USA
1478282;Wojciech Mierkulow;True;;;;
519528;William De La Cruz;True;;;;
566147;Walter Dionisio;True;;;;
443447;Will (XII) Cooper;True;;;;
2233182;Walter Tributsch;True;;;;
866461;Will Gutierrez;True;;;;
971251;Will (II) Holliday;True;;;;
591953;Wilfred Driscoll;True;1980;Fall River, Massachusetts, USA;;
1222051;Warren Laker;True;;;;
1348293;Whitney Yellow Robe;False;;;;
1983151;Wilmo Schfer;True;1917;Ludwigshafen, Germany;;
29060;Washu Alabi;True;;;;
153842;William Bauche;True;;;;
1859741;Willy Rizzo;True;1928;Naples, Italy;2013;Paris, France
593404;Will Drury;True;;;;
429921;Willy Colombaioni;True;;;;
726662;Wen Long;False;;;;
592787;Wojciech Drozdowicz;True;;;;
1471040;Werner Metzger;True;;;;
53981;William David Amendola;True;;;;
1303870;Wendy Ann Watson;False;;;;
1349018;Wang (I) Yi;False;;;;
497313;Wilson Daniels;True;;;;
864214;Will Gurly;True;;;;
2271582;Wim Van den Eynde;True;;;;
1164765;Wendy Spurgeon;False;;;;
1494729;Waldo Miranda;True;;;;
1056872;Wook Jeong;True;;;;
924582;Wanda Osterwina;False;1887;Vilnius, Lithuania, Russian Empire [now Lithuania];1929;Warsaw, Mazowieckie, Poland
2344609;Watson (II);True;;;;
526566;Wim de Wulf;True;;;;
2155370;Wojciech Szostak;True;;;;
2251446;Waldemar Tyminski;True;;;;
1296760;Wendy (I) Walsh;False;;;;
801339;Warren Glen;True;;;;
225532;William (I) Boggs;True;;;;
2189963;Wade Thalberg;True;;;;
1459008;Wagner Mello;True;;;;
530926;Willie Dee;True;;;;
179619;Wes Bennett;True;;;;
425624;William D. (II) Coleman;True;;;;
422053;William (VIII) Cohen;True;;;;
271630;Will Broersma;True;;;;
150064;Wes Bassewitz;True;;;;
1151581;Wei Ling Sng;False;;;;
875070;William Haden;True;;;;
578772;Wayne Donhoff;True;;;;
1791120;William (I) Quinn;True;1884;Canada;1965;Glen Ellen, California, USA
511821;Wendell (II) Davis;True;1973;Wichita, Kansas, USA;;
1404754;Ward Massner;True;;;;
794039;William Gillmore;True;;;;
1230451;Wilbert Lang;True;;;;
