ActorID;Name;IsMale;BirthYear;BirthLocation;DeathYear;DeathLocation
689916;Xavier Fillol;True;;;;
2141852;Xi (I) Sun;True;;;;
2452574;Xinpei Zhao;True;;;;
1464458;Xavi Mens;True;;;;
697295;Xinfeng D. Lee;False;;;;
1361676;Xiaolan Zhong;False;;;;
1006032;Ximena Ramos;False;;;;
252260;Xanthe Coward;False;;;;
720597;Xiaohui (I) Liu;False;;;;
863460;Xue Guo;True;;;;
744318;Xisela Lpez;False;;;;
1218894;Xavier (I) Lafont;True;;;;
573961;Xavier Dohet;True;;;;
863451;Xiaolong Guo;True;;;;
812784;Xibing Gong;True;;;;
2416475;Xia (III) Wu;True;;;;
2335704;Xiaobing (II) Wang;True;;;;
537915;Xiang (II) Hong;False;;;;
2420216;Xyan Xrichardson;True;;;;
486854;Xang da Mangueira;True;1923;Rio de Janeiro, Rio de Janeiro, Brazil;2009;Rio de Janeiro, Brazil
2420719;Xrs;True;;;;
744687;Xiaolin L;False;;;;
1061085;Xeui Jimnez;True;1961;Sabadell, Barcelona, Catalonia, Spain;;
825241;Xavier Goudreau;True;;;;
1342975;Xsia Lin Xi;False;;;;
2451424;Xiaoyong Zhang Cheng;True;;;;
1982266;Xaver Schwarzenberger;True;1946;Vienna, Austria;;
2420489;Xueli Xu;True;;;;
1761698;X. Posse;True;;;;
520845;Xaviere De Leka;True;;;;
1511195;Xavier Monge;True;;;;
451555;Ximena (II) Gonzlez;False;;;;
1826310;Xavier Regs;True;;;;
558186;Xavier Diaz;True;;;;
78730;Xander Arbon;True;;;;
984516;Xing Hou;True;;;;
1761011;Xose A. Porto;True;;;;
2371700;Xavier Whitford;True;;;;
2419187;Xanu;True;;;;
2440405;Xoel Yez;True;1987;Ourense, Ourense, Galicia, Spain;;
148989;Xristos Basilakos;True;;;;
1354535;Xuan Mai;True;;;;
1361378;Xiao-yu Zhao;False;;;;
1550950;Xanlar Muradov;True;;;;
1298540;Xujun Liu;True;;;;
1343006;Xia (II) Xia;False;;;;
738577;Xenia Lundstedt;False;1895;Copenhagen, Denmark;;
1931772;Xavier Salazar;True;;;;
2319048;Xess Garca Vzquez;True;;;;
212672;Xiao (III) Chen;False;;;;
20989;Ximo Agustina;True;;;;
3318;Xana Abreu;False;;;;
1511814;Xavier Monks-Lozzigan;True;;;;
1216743;Xavier Lachance;True;;;;
1017150;Xhevat Imeri;True;;;;
812786;Xingang Gong;True;;;;
1864;Xos (I) Abad;True;;;;
583574;Xavier 'Zaytoven' Dotson;True;;;;
2452816;Xinyuan Zheng Lu;True;;;;
324199;Xsuela Douglas;False;;;;
2388182;Xander Williams;True;;;;
401576;Xiong Chunlei;True;;;;
41965;Xristina Appana;False;;;;
213105;Xing Xing Cheng;False;;;;
2419091;Xabiert;True;;;;
331676;Xabi Cano;True;;;;
1786506;Xoan Prez;True;1968;Ondarroa, Vizcaya, Pas Vasco, Spain;;
651608;Xenia Korovesi;False;;;;
1409491;Xavier Matos;True;;;;
1300682;Xavier Lloveras;True;;;;
1196793;Xander Krohnfeldt;True;;;;
1298529;Xinyi (II) Liu;True;;;;
1876132;Xavier (XIII) Rodriguez;True;;;;
772901;Xavisus Gayden;True;;;;
2224347;Xavier Tort;True;;;;
333406;Ximon Dunedain;False;;;;
2276972;Xand van Tulleken;True;;;;
711200;Xian Liang;False;;;;
1073836;Xareni Sajaropulos;False;1986;Mexico City, Distrito Federal, Mexico;;
1361895;Xinyun Zhu;False;;;;
1854698;Xavier Ripoll;True;1971;Ripoll, Girona, Catalonia, Spain;;
325611;Xavier Campanelli;True;;;;
495499;Xavier Dang;True;;;;
384922;Xing-Yu Chen;True;;;;
205664;Xemgin Birhat;True;;;;
578677;Xian (I) Dong;True;;;;
2077313;Xavier Solano;True;;;;
322925;Xos Miguel Daz Calvo;True;;;;
2010319;Xicheng Shao;True;;;;
714922;Xiuyi Kitty Lin;False;;;;
1399598;Xurxo Martnez;True;;;;
337694;Xavier Carel;True;;;;
2452560;Xiao Dong Zhao;True;;;;
1346454;Xiangli Yao;False;;;;
2001554;Ximo Serra;True;;;;
1018497;Xiomara Reina;False;;;;
167762;Xavier Beja;True;;;;
180425;Xaro Campo;False;;;;
2269527;Xavier Valverde;True;;;;
1945686;Xerxes Sangco;True;;;;
689973;Xan Lazor;False;;;;
719989;Xess (I) Fraga;True;1971;London, England, UK;;
2347859;Xu Jia We;True;;;;
2420158;Xixo;True;;;;
598050;Xander (IV) Duffy;True;;;;
1680236;Xavier Parent;True;;;;
148101;Xavier (II) Bar;True;;;;
2419125;Xanaar;True;;;;
584033;Xingwen Jing;False;;;;
815526;Xu (II) Meng;False;;;;
239790;Xu Bosheng;True;;;;
1360382;Ximena Zepeda;False;;;;
745433;Xochi Maberry-Gaulke;False;;;;
740518;Xavier Fultot;True;;;;
537966;Xavier Delgado;True;;;;
1736293;Xavier Pierre;True;;;;
1365189;Xenia Zubova;False;;;;
1043665;Xotchitl Rodriguez;False;;;;
2420485;Xinyu Xu;True;;;;
2002126;Xavier (II) Serrat;True;;;;
1744007;Xavier Pitarque;True;;;;
1316634;Xavier Louvel;True;;;;
1219687;Xulio Lago;True;1946;Vigo, Pontevedra, Galicia, Spain;;
711285;Xueqiu Liao;False;;;;
698081;Xaq Fixx;True;;;;
2141868;Xue Yan Sun;True;;;;
1370706;Xan Manning;True;;;;
313161;Xin Ding;False;;;;
1088094;Xavier Jubierres;True;;;;
1889116;Xavi Roqueta;True;;;;
396182;Xiomara Fortuna;False;;;;
1508040;Xavier (II) Molina;True;;;;
113834;Xochi Birch;False;;;;
1349400;Xiao (I) Ying;False;;;;
2451414;Xugang Zhan;True;;;;
448164;Xenia Golovanova;False;;;;
1891872;Xavier Rosello;True;;;;
149780;Xavier Bassa;True;;;;
2420470;Xiang Dong Xu;True;;;;
1342880;Xena (VI);False;;;;
1186899;Ximena Suarez;False;;;;
1224664;Xin Hui Thong;False;;;;
594140;Xiao Min du;True;;;;
710869;Xiaoli (I) Li;False;;;;
2419395;Xefo;True;;;;
1329373;Xenia F. Wilson;False;;;;
1817043;Xavier (I) Ray;True;;;;
1356589;Ximena Zalazar Firpo;False;;;;
449089;Xevi Corrales;True;;;;
408642;Xenia Fuchs;False;;;;
2416490;Xionqin Wu;True;;;;
1337844;Xiaowei Ma;True;;;;
992123;Xenia Puente;False;;;;
1298592;Xueqin Wang;False;;;;
1320815;Xiaolong Lu;True;;;;
1298495;Xi Liu;True;;;;
676607;Xuan Lan;False;;;;
2419011;X-Travaganza;True;;;;
600610;Xavier (I) Dumont;True;;;;
390280;Xochitl Flores;False;;;;
2021628;Xin Shi;True;;;;
720601;Xiaoli Liu;False;;;;
2352194;Xaver Wegler;True;;;;
1350679;Xanthe Maggs;True;;;;
1342729;Xanadoll;False;;;;
321361;Xanna Dont;False;;;;
87441;Xidut Arowa;True;;;;
1151264;Xenia Snagowski;False;1977;Moscow, USSR [now Russia];;
2264553;Xanthus Valan;True;1971;Manhattan, New York City, New York, USA;;
574542;Xaver Dolansky;True;;;;
710882;Xinqing Li;False;1978;Beijing, China;;
2419546;Xiaoyu XI;True;;;;
539652;Xavier Delplanque;True;;;;
1225049;Xavier (I) Lambert;True;;;;
1013259;Xavier Idez;True;;;;
963563;Xochiquetzali Pea Rivera;False;;;;
545821;Xiaoling Hu;False;;;;
384912;Xiaolun Chen;True;;;;
384923;Xinhua (II) Chen;True;;;;
1841075;Xos Manuel (II) Rial;True;;;;
534892;Xingu Del Rosario;True;;;;
