ActorID;Name;IsMale;BirthYear;BirthLocation;DeathYear;DeathLocation
2426623;Yuskow Yashiwara;True;;;;
2025839;Yo Shitara;True;;;;
557478;Yai Ignacio;False;;;;
347317;Yasmin El-Meligy;False;;;;
2007439;Yousef Shahab;True;;;;
2009535;Yasir Shani;True;;;;
1379348;Yvan Mariani;True;;;;
834298;Yukiko Misawa;False;;;;
2335936;Yuzheng Wang;True;;;;
77052;Yoshi Arai;True;;;;
219839;Yves Blouet;True;;;;
449123;Yoko (I) Gomi;False;;;;
168721;Yvette Bustillos;False;;;;
1024720;Yasushi Ishida;True;;;;
719878;Yan Fradette;True;;;;
589267;Yoshiko Johnson;False;;;;
929516;Yolanda Padua;False;;;;
2431191;Yee-Wan Yiu;True;;;;
714325;Yohanni Liman;False;;;;
1024723;Yoshimichi Ishida;True;;;;
74221;Yji Aoki;True;1945;Oe, Prefecture Kyoto, Japan;2003;Kobe, Japan
1298602;Yan (VII) Wang;False;;;;
1551142;Yuta Murakami;True;;;;
412369;Yvonne G Laycy;False;;;;
1355296;Yulia Zabo;False;;;;
118276;Yun Blair;False;;;;
1210608;Yo Kwee;True;;;;
1204713;Yoshihiko Kumashino;True;;;;
1690432;Yusuf Pasu;True;;;;
615882;Yukina Kawada;False;;;;
2023785;Yoshiyuki Shin'ya;True;;;;
185788;Yoel Berhane;True;;;;
988302;Yolanda (I) Price;False;;;;
1289813;Y-Chih Lin;True;;;;
1357839;Yoshinao (II) Maki;True;;;;
1482849;Yohan Milin;True;;;;
1074312;Yumika Saki;False;;;;
612274;Yagmur Kasifoglu;False;1977;Istanbul, Turkey;;
382945;Yassir Chediak;True;;;;
1758306;Yevgeniy Popov;True;;;;
2406435;Yiu-fai Wong;True;;;;
1718273;Yossi Pershites;True;;;;
1283729;Yu (III) Liang;True;;;;
2162004;Yk Taira;True;;;;
992089;Yi-ming Huang;True;;;;
1201647;Yuka (II) Tada;False;;;;
924955;Yuko (I) Ota;False;;;;
2452171;Yanping (I) Zhang;True;;;;
1012570;Yarimar Razo;False;;;;
1150097;Yeo-eon Kim;True;;;;
639218;Ya Girl Kiwi;False;;;;
772949;Yehonatan Gayego;True;;;;
1063568;Yulya Rumyanceva;False;;;;
882087;Yael Nechemya;False;1977;Tel Aviv, Israel;;
1530304;Yoshikazu Morita;True;;;;
422070;Yisrael Edward Cohen;True;;;;
736932;Yawen Fu;True;;;;
639257;Yukari Kiyohara;False;;;;
1025983;Yvonne Ribuca;False;;;;
1049062;Yolanda (III) Romero;False;;;;
1787558;Yi (I) Qiu;True;;;;
1529969;Yki Morinaga;True;1996;Osaka, Japan;;
357996;Yvette Erwin;False;;;;
629442;Yelena Khrol;False;;;;
697334;Yeong-ih Lee;False;;;;
957203;Yannis Himonidis;True;;;;
1089920;Yu (II) Jun;True;;;;
56524;Yolande Auger;False;;;;
1195360;Yori Swart;False;;;;
2335883;Yu Chin Wang;True;;;;
1206068;Yane Tan;False;;;;
2439808;Yuri (IV);True;;;;
2430531;Yusuf Yildiz;True;;;;
975892;Yelena Podpomogova;False;;;;
521412;Yael Hersonski;False;;;;
1027754;Yoshiki (I) It;True;;;;
654063;Yasmin Koutras;False;;;;
1188166;Yilmaz Kovan;True;;;;
2097499;Yannick St-George;True;;;;
1674934;Yasha Panichev;True;;;;
1934804;Yohan Salmon;True;;;;
271386;Yun Brodsky;True;;;;
1175243;Yutaka Koizumi;True;;;;
2021654;Yi (II) Shi;True;;;;
1637248;Yto Ok;True;;;;
21268;Yaniv Aharoni;True;;;;
608585;Yajanha Duverg;True;;;;
1568979;Yoshihiro Nakadai;True;;;;
898621;Yann Hardi;True;;;;
1634968;Yukio Ohta;True;;;;
2440134;Yusuke (III);True;;;;
1354587;Yurifa;False;;;;
651369;Yuliya Korneva;False;;;;
1074471;Yves Joly;True;;;;
555949;Yacouba Diakite;True;;;;
2440477;Ytar;True;;;;
1561257;Yinique Myo-Flores;True;;;;
1207309;Yoshihiko Kurokawa;True;;;;
611597;Yves Dtraigne;True;;;;
1234823;Yolimar Lara;True;;;;
