ActorID;Name;IsMale;BirthYear;BirthLocation;DeathYear;DeathLocation
1158546;Ziga Kirm;True;;;;
1500357;Zein Mitwali;True;;;;
1106742;Zindzi Sealy;False;;;;
672243;Zak Feaunati;True;;;;
2441948;Zac Zaga;True;;;;
621828;Z Roberto Efeson;True;;;;
436132;Zac Connor;True;;;;
2008086;Zeesham Ahmad Shakeel;True;;;;
2424032;Zhenhe Yan;True;;;;
2007926;Zulfia Shaikh;True;;;;
1265030;Zabeth van Veen;False;;;;
917098;Zakarias Hauffman;True;;;;
1102219;Zhenya Kamenoboets;True;;;;
801980;Zach Glicksman;True;;;;
1154751;Zachary (II) King;True;;;;
1473697;Zain Mia;True;;;;
1260089;Zach (II) Lee;True;;;;
2316164;Zbynek Vostrk;True;1920;Prague, Czechoslovakia;1985;Strakonice, Czechoslovakia
644703;Zack Ermini;True;;;;
213046;Zeb (I) Blair;True;;;;
670810;Zdena Lacinov;False;;;;
175900;Zach Bendt;True;;;;
1112067;Zaharias Karounis;True;;;;
174099;Zouhair Ben Chicha;True;;;;
1072677;Zara Sahakyan;False;;;;
148915;Zsolt Bashn;True;;;;
118842;Zlatko Bajsic;True;;;;
877199;Zo Nanos;False;;;;
2206109;Zslyomi Tibor;True;;;;
1184699;Zoran Kosmajac;True;;;;
14887;Zbeyde Alagz;False;;;;
2846;Zaraah Abrahams;False;1987;London, England, UK;;
1808343;Zachary Randazzo;True;;;;
2454855;Zig (IV);True;;;;
2441044;Zac (III);True;;;;
869215;Zoltn Gyorgy;True;;;;
1970904;Zander Schloss;True;1958;St. Louis, Missouri, USA;;
961855;Zsuzsa Petress;False;1928;Budapest, Hungary;2001;USA
1342716;Zoe MacIntosh;True;;;;
829599;Zuleika Miller;False;;;;
265758;Zach Brickland;True;;;;
896887;Zdenek Hanzlik;True;;;;
480785;Zachary Curtis;True;;;;
1215870;Zendee Rose Tenerefe;False;;;;
1114879;Zeynep Sevi;False;;;;
1715175;Zach (I) Perkins;True;;;;
486826;Z da Ilha;True;;;;
17288;Zoe Aldrich;False;;;;
444316;Zachary Copper;True;;;;
1403638;Zach (IV) Mason;True;;;;
265069;Zeljka Cvjetan;False;1963;Belgrade, Serbia, Yugoslavia;;
355659;Zhanna Epple;False;;;;
861647;Zofia Mrozowicz;False;;;;
1776082;Zoran (II) Prodanovic;True;;;;
792517;Ziza Mazar;False;;;;
1966323;Zack Schaus;True;;;;
1968492;Zackary Schiavone;True;;;;
2425823;Zhen Ying Yao;True;;;;
2452290;Zhi (II) Zhang;True;;;;
2442932;Zuzanna Zajac;True;;;;
1731712;Zack (VI) Phillips;True;;;;
1182087;Zvi Koren;True;;;;
936639;Zach Hennig;True;;;;
734612;Zofia Lubicz;False;1909;Jeziorszczyzna, Poland, Russian Empire [now Jeziorszczyzna, Lubelskie, Poland];2001;Poznan, Wielkopolskie, Poland
26901;Zafer Akkoyun;True;;;;
868457;Zoe Muscan;False;;;;
1240184;Zoltn Latinovits;True;1931;Budapest, Hungary;1976;Balatonszemes, Hungary
1292422;Zachary Lindstrom;True;;;;
1248194;Zdzislaw Lazarski;True;;;;
1120595;Zal Kayani;True;;;;
2290401;Zdenek Vencl;True;1967;Hradec Krlov, Czechoslovakia [now Czech Republic];;
654768;Zdenka Kovrov;False;;;;
2034224;Zach (I) Siglow;True;;;;
475879;Zehra Gundogdu;False;;;;
671471;Zachary Christopher Fay;True;;;;
91120;Ziad Asali;True;;;;
1960450;Zdenek Savrda;True;1907;Votice u Benesova, Austria-Hungary;1982;Praha, Czechoslovakia
864075;Zeca Gurgel;True;;;;
304468;Zaleiyah Desvigne;False;;;;
473093;Zoraida Cruz;True;;;;
1326774;Zuni Hadiya Willis;False;;;;
1360327;Zeny;False;;;;
545835;Ze-hong Hu;False;;;;
1289772;Zsuzsanna Vrkonyi;False;;;;
6921;Zoran Abramovic;True;;;;
2071107;Zach (XXIV) Smith;True;;;;
669609;Zineb Laalami;False;;;;
1133690;Zachary Kenney;True;;;;
1283745;Zhang (V) Liang;True;;;;
581073;Zetti Krarup Jensen;False;;;;
1191699;Zdravko Krapez;True;;;;
341277;Zoe Ebsworth;False;;;;
1134189;Zornitsa Simidjiiska;False;;;;
2055284;Zaki Sky;True;;;;
593110;Zach Drummer;True;;;;
1015537;zgr Ilengiz;True;;;;
1222637;Zoe (III) Thomas;False;;;;
2453476;Zhihe Zhou;True;;;;
1341286;Zheng (II) Wu;False;;;;
1286866;Zek Lightning;True;;;;
1262186;Zo van der Kust;False;;;;
1751603;Ziga Pokorn;True;;;;
2448958;Zeinabou;True;;;;
1958371;Zevi Saunders;True;;;;
1871240;Zane Rockenbaugh;True;;;;
1169541;Zoe Stark;False;;;;
1081543;Zazz Jones;True;;;;
1473276;Zoltn Mezei;True;;;;
29077;Zvonimir Alac;True;;;;
890960;Zhenguo Han;True;;;;
255622;Zachary Joseph Edwin Bramblett;True;;;;
49299;Zafer Altun;True;;;;
1460944;Zane Mendehal;True;;;;
282308;Zachary (XV) Brown;True;;;;
1321816;Zara Wilkins;False;;;;
12342;Zahra Airall;False;;;;
496352;Zachary Daniel;True;;;;
583957;Zhang (II) Jin;False;;;;
660513;Zulfikar Fahmy;True;;;;
1347948;Zeljko Madjaric;True;;;;
221124;Zach Bly;True;;;;
692079;Zak Finn;True;;;;
846221;Zelana Montminy;False;;;;
1353613;Zdenek Mahler;True;1928;Batelov by Jihlava, Bohemia, Czechoslovakia [now Czech Republic];;
2141931;Zijun Sun;True;;;;
1721290;Zachary (I) Peters;True;;;;
1868699;Zen Robinson;True;;;;
294097;Zsolt Bukta;True;;;;
430426;Zack Colonna;True;;;;
687178;Zaachariaha Fielding;True;;;;
1864469;Zane L. Roberts;True;;;;
1440945;Zacchiaus McKee;True;;;;
1463434;Zheng Mengtian;True;;;;
1298685;Zhixuan Wang;False;;;;
2451116;Zeus (XIV);True;;;;
2009098;Zhou Ming Shan;True;;;;
352105;Zita Elas;False;;;;
1358960;Zazi (III);False;;;;
897418;Zoe Noell;False;;;;
1091582;Zvonimir (II) Juric;True;;;;
941713;Zyrene Parsad;False;;;;
2198369;Zak William Thomas;True;;;;
1140536;Z. Sizova;False;;;;
1266400;Zac LeMieux;True;;;;
2190676;Zach Thatcher;True;;;;
1954586;Zaid Sarsor;True;;;;
962541;Zaklina (II) Petrovska;False;;;;
2436876;Zachary I. Young;True;;;;
2447551;Zdenek Zavzal;True;;;;
659359;Zuzana Krnova-Hicks;False;;;;
1601059;Zeljko (I) Nikolic;True;;;;
