ActorID;FirstName;LastName;IsMale;BirthYear;BirthLocation;DeathYear;DeathLocation
670203;Ali;Heimstreet;False;;;;
691185;Kit;Harington;True;1986;London, England, UK;;
1664151;Robert (II);Sterne;True;;;;
318919;Robin (I);Chow;True;;;;
719903;Eliott;Howard;True;;;;
1075751;Alexandre (I);Matos;True;;;;
137376;Luke (I);Barnes;True;;;;
1078701;Elias Kudzai;Manyara;True;;;;
1376756;Ruth;Purdmaa;False;;;;
1221005;Barry John;O'Connor;True;;;;
1256796;Samantha;Overides;False;;;;
516728;Ken (IV);Fletcher;True;;;;
1081131;Philippe (III);Maurice;True;;;;
850722;Maria;Keck;True;;;;
948869;Tim (III);Landers;True;;;;
918285;Vendula;Kroupov;False;;;;
1700113;Yousef 'Joe';Sweid;True;;;;
1220903;Rafael (IX);Navarro;True;;;;
1221035;P. Joseph;Nemeth;True;;;;
694024;Kelly (I);Hill;False;;;;
339515;David;Coakley;True;;;;
1081457;Edward Lee;McClain;True;;;;
243465;Ben (V);Burton;True;;;;
1505324;Beatriz dos;Santos;False;;;;
695432;David (CXXII);Harris;True;;;;
86597;Alejandro (IV);Arroyo;True;;;;
184316;Jon Thor;Birgisson;True;1975;Iceland;;
755776;Marianne;Iseli;False;;;;
34282;Katie;Alexander Thom;False;;;;
1617968;Sophia (II);Smith;False;;;;
539113;Frederick;Franklain;True;;;;
435980;Helen (V);Edwards;False;;;;
382274;Mackenzie;Crook;True;1971;Maidstone, Kent, England, UK;;
1037600;Stella;Lutz;False;1982;Rijeka, Croatia;;
1279700;Alan;Paris;True;;;;
36359;Rubi;Ali;False;;;;
1680451;Barb J.;Stroud;False;1954;St. Louis, Missouri, USA;;
1077604;Hadi;Mansouri;True;;;;
381755;Ben (I);Crompton;True;1974;Stockport, Greater Manchester, England, UK;;
1083613;Kazi;Maruf;True;;;;
418021;Rob;de Groot;True;;;;
879953;Pat (VIII);King;False;;;;
1081704;Cameron (I);Martin;True;1985;Albuquerque, New Mexico, USA;;
1077740;Dom;McArthy;True;;;;
1205985;David (IV);Myles;True;;;;
695206;Paula;Harrison;False;;;;
1077708;;Mansweat;True;;;;
703667;El;Hasani;True;;;;
298989;Kay;Chaque;False;;;;
1037600;Danielle;Lyn;False;;;;
1215860;Daniel;Naprous;True;;;;
986497;Niamh;Lennon;False;;;;
683884;Ian;Hanmore;True;;;;
1486993;Kayo;Sakata;False;;;;
1255979;Wendi;Otto;False;;;;
945123;Colette;Landry;False;;;;
34282;Hera;Alexa;True;;;;
1496827;Cliff;Samara;True;;;;
666545;Ruair;Heading;True;1991;Dublin, Ireland;;
240657;Eric (V);Burnett;True;;;;
1666087;Pips;Taylor;False;;;;
865849;Mike (II);Kestler;True;;;;
1652150;Ryichi;Takayanagi;True;;;;
1745664;Mathew;Valois;True;;;;
709083;B.J.;Hogg;True;1955;Lisburn County, Antrim, Northern Ireland, UK;;
582981;Ty;Gerritsen;True;;;;
77724;Aaron (XI);Archer;True;;;;
693679;Clint;Higham;True;;;;
225811;Dale;Bowkett;True;;;;
1657515;Vagn;Steen;True;;;;
703667;Liang-Fong;Hsu;False;;;;
585219;Franz-Christoph;Giercke;True;;;;
1658838;Clay;Tanning;True;;;;
166452;Matthew (I);Berger;True;;;;
240657;Maria;Brosi;True;;;;
166452;Shahar;Berlovich;True;1974;Tel Aviv, Israel;;
501339;Melissa (VII);Fisher;False;;;;
360495;Ral;Cordn;True;;;;
1700739;Stephen (I);Swift;True;1973;Dublin, Ireland;;
355457;Krysten;Coombs;True;;;;
667854;Peter (I);Hack;True;;;;
161599;Ryan (VII);Bennett;True;;;;
486059;Alexandra;Dowling;False;1990;United Kingdom;;
