ActorID;MovieID;Role
1900000J;3366947M;Maitre'd
1900001M;3276242K;
1900002O;2786016A;
1900003V;2851705B;Guard #1
1900004C;3874684T;Ex-Boyfriend
1900006D;2725392A;Teacher
1900007M;3863436T;Villager
1900009A;3604124S;Alusine
1900010R;3328347L;
1900011C;3138253H;Khong
1900011C;3244204J;Duan
1900011C;3356904L;Mo Din
1900011C;3965064W;Paitoon
1900012F;3826250T;
1900014C;2839550B;Policier de la PAF Roissy 2
1900015C;2830505B;Yamba
1900016D;3303281L;
1900017D;2793288A;Himself
1900018G;3736396T;
1900019T;3316020L;L'ange blanc
1900020K;3963283W;
1900021K;3202112I;Himself
1900023A;2953366D;Himself
1900024N;2808735A;
1900025K;2873057B;Lee
1900025K;3021760E;Karate Guy
1900025K;3101807F;Sleeveless Ninja
1900025K;3263718K;Donovan
1900025K;3347103L;Bookstore employee
1900025K;3454902N;Ninja 1
1900025K;3478205O;Ping Pong Player
1900025K;3902473U;Ninja
1900027O;2812939A;
1900027O;3201483I;Le douanier
1900027O;3293191L;Le frre de Sonia
1900029D;3244434J;Agent Icy Frost
1900032Y;3627909S;Drunk Man in Bar
1900033B;2725952A;Himself - Singer
1900033B;3488625O;Himself
1900033B;3688133S;Himself
1900034N;3887263T;Netan
1900036S;3612415S;Askar
1900036S;3827752T;
1900037S;3728168T;Arab Student
1900037S;3985998Z;Tzanani
1900038Y;3609357S;Security Guard
1900039Y;3599584S;Julin
1900040M;2982813D;Shingo
1900044S;2857903B;The Brother
1900044S;3021397E;Antonio
1900044S;3603693S;Indian Warrior
1900044S;3767651T;Sergeant
1900044S;3884741T;Destitute Program
1900044S;3917945V;Inuit fellow
1900044S;3928123V;Lazarus
1900047F;2847009B;
1900047F;2894597C;Cameo
1900047F;3052391E;Boutros
1900047F;3929224V;
1900048M;2809939A;
1900048M;2894597C;Tony
1900049M;3737291T;Barrier Man
1900050M;3230701J;Himself
1900050M;3231762J;Himself
1900052J;2717627-;Karan
1900052J;2737290A;Pakorn
1900052J;2822240B;Kong
1900052J;2834871B;Brice
1900052J;2842456B;Nop
1900052J;2866962B;Jolo
1900052J;2940443C;Kengkat
1900052J;3069925F;Jeeradech
1900052J;3100827F;Shane
