ActorID;MovieOrSeriesID;IsMovie;Role
14400;828434;False;Robert Baratheon
14400;828443;False;Robert Baratheon
14400;828453;False;Robert Baratheon
14400;828471;False;Robert Baratheon
14400;828485;False;Robert Baratheon
14400;828492;False;Robert Baratheon
26508;828469;False;Malko
26508;828487;False;Malko
39787;828485;False;Illyrio Mopatis
39787;828492;False;Illyrio Mopatis
40571;828420;False;Theon Greyjoy
40571;828434;False;Theon Greyjoy
40571;828435;False;Theon Greyjoy
40571;828436;False;Theon Greyjoy
40571;828437;False;Theon Greyjoy
40571;828438;False;Theon Greyjoy
40571;828441;False;Theon Greyjoy
40571;828443;False;Theon Greyjoy
40571;828444;False;Theon Greyjoy
40571;828445;False;Theon Greyjoy
40571;828448;False;Theon Greyjoy
40571;828449;False;Theon Greyjoy
40571;828450;False;Theon Greyjoy
40571;828451;False;Theon Greyjoy
40571;828454;False;Theon Greyjoy
40571;828456;False;Theon Greyjoy
40571;828462;False;Theon Greyjoy
40571;828463;False;Theon Greyjoy
40571;828465;False;Theon Greyjoy
40571;828467;False;Theon Greyjoy
40571;828468;False;Theon Greyjoy
40571;828469;False;Theon Greyjoy
40571;828471;False;Theon Greyjoy
40571;828472;False;Theon Greyjoy
40571;828473;False;Theon Greyjoy
40571;828474;False;Theon Greyjoy
40571;828475;False;Theon Greyjoy
40571;828476;False;Theon Greyjoy
40571;828477;False;Theon Greyjoy
40571;828478;False;Theon Greyjoy
40571;828479;False;Theon Greyjoy
40571;828481;False;Theon Greyjoy
40571;828484;False;Theon Greyjoy
40571;828485;False;Theon Greyjoy
40571;828487;False;Theon Greyjoy
40571;828489;False;Theon Greyjoy
40571;828490;False;Theon Greyjoy
40571;828491;False;Theon Greyjoy
40571;828492;False;Theon Greyjoy
47553;828437;False;Pypar
47553;828442;False;Pypar
47553;828443;False;Pypar
47553;828445;False;Pypar
47553;828453;False;Pypar
47553;828454;False;Pypar
47553;828455;False;Pypar
47553;828459;False;Pypar
47553;828464;False;Pypar
47553;828474;False;Pypar
47553;828478;False;Pypar
47553;828483;False;Pypar
59179;828469;False;Derek
59232;828438;False;Grey Worm
59232;828441;False;Grey Worm
59232;828442;False;Grey Worm
59232;828446;False;Grey Worm
59232;828450;False;Grey Worm
59232;828451;False;Grey Worm
59232;828452;False;Grey Worm
59232;828454;False;Grey Worm
59232;828456;False;Grey Worm
