range1;range2;count
R: >= 4h;F: [180-190[;0
F: [30-45[;B: [5,000,000-10,000,000[;123
R: [1h30 - 1h45[;F: [90-105[;167
G: [100,000,000-500,000,000[;S: 6;201
B: [500,000-1,000,000[;G: [50-100[;0
B: [5,000-10,000[;G: [100,000-500,000[;6
F: [45-60[;B: >= 50,000,000;11
R: [3h - 4h[;F: [120-135[;3
F: [5-15[;B: [5,000-10,000[;144
B: [10,000,000-50,000,000[;G: [1,000,000-5,000,000[;344
B: [5,000-10,000[;G: >= 500,000,000;0
F: < 5;B: [50,000-100,000[;39
F: [45-60[;B: [5,000,000-10,000,000[;200
F: [150-165[;B: >= 50,000,000;49
G: [500,000-1,000,000[;S: 4;43
G: [50,000-100,000[;S: 9;34
R: < 5min;F: [60-75[;2
G: >= 500,000,000;S: 7;39
R: [3h - 4h[;F: [105-120[;2
G: [10,000,000-50,000,000[;S: 5;223
G: [100,000,000-500,000,000[;S: 7;440
F: [90-105[;B: [50-100[;3
F: < 5;B: [100-500[;185
B: >= 50,000,000;G: [100-500[;0
R: [1h - 1h15[;F: [135-150[;5
R: [30min - 45min[;F: [5-15[;55
R: [15min - 30min[;F: [180-190[;5
R: [3h - 4h[;F: [30-45[;4
B: [10,000-50,000[;G: [100,000,000-500,000,000[;1
B: [10,000-50,000[;G: [1,000,000-5,000,000[;17
F: [165-180[;B: [500-1000[;2
F: [165-180[;B: [5,000-10,000[;3
R: [1h30 - 1h45[;F: [165-180[;18
B: [500-1000[;G: < 50;0
F: [30-45[;B: [10,000,000-50,000,000[;60
F: [135-150[;B: [10,000-50,000[;8
G: [1,000,000-5,000,000[;S: 1;0
F: [5-15[;B: [10,000,000-50,000,000[;13
G: [100-500[;S: 7;36
F: [120-135[;B: [50-100[;1
F: [135-150[;B: < 50;0
G: [100,000-500,000[;S: 2;5
R: [2h15 - 2h30[;F: [45-60[;12
F: [90-105[;B: < 50;1
F: [75-90[;B: [5,000-10,000[;7
R: [2h - 2h15[;F: [105-120[;19
R: [2h - 2h15[;F: [135-150[;9
B: [50-100[;G: [100,000,000-500,000,000[;0
R: [15min - 30min[;F: < 5;236
G: >= 500,000,000;S: 0;0
R: [5min - 15min[;F: [150-165[;4
B: < 50;G: [1,000,000-5,000,000[;2
F: < 5;B: [500-1000[;140
F: < 5;B: [50-100[;32
R: [1h45 - 2h[;F: [135-150[;18
G: [5,000-10,000[;S: 4;15
F: [90-105[;B: [100,000-500,000[;50
G: [500,000-1,000,000[;S: 1;0
B: [500-1000[;G: [5,000-10,000[;0
B: [500,000-1,000,000[;G: [500-1,000[;3
F: >= 190;B: [100-500[;37
G: >= 500,000,000;S: 8;72
R: [3h - 4h[;F: [75-90[;3
G: [100,000-500,000[;S: 6;879
B: >= 50,000,000;G: [50,000-100,000[;0
G: [100-500[;S: 2;1
B: [1,000,000-5,000,000[;G: >= 500,000,000;2
R: [3h - 4h[;F: [90-105[;12
G: [500-1,000[;S: 6;24
F: [15-30[;B: [500-1000[;30
F: [15-30[;B: [500,000-1,000,000[;127
F: [5-15[;B: [100-500[;52
G: [5,000-10,000[;S: 8;141
R: [1h15 - 1h30[;F: [15-30[;268
F: [15-30[;B: [5,000-10,000[;72
R: [2h15 - 2h30[;F: >= 190;28
G: [5,000-10,000[;S: 3;2
R: [1h15 - 1h30[;F: [105-120[;25
R: [1h - 1h15[;F: [60-75[;49
F: [75-90[;B: < 50;2
R: [2h15 - 2h30[;F: [30-45[;9
G: [10,000-50,000[;S: 6;490
B: [500,000-1,000,000[;G: [10,000-50,000[;69
F: [120-135[;B: [500-1000[;8
F: [45-60[;B: [10,000,000-50,000,000[;221
G: < 50;S: 9;1
F: [165-180[;B: [100,000-500,000[;7
F: < 5;B: [100,000-500,000[;34
