ID;Title;Year;EndYear;Genre;Budget;Gross;FilmingDays;Language;Locations;Countries;Rating;Duration
3020550;E & A;2013;2013;Sci-Fi*Short;;;;Italian;;Italy;;
3020551;E & K;2014;2014;Drama*Short;;;;English;;USA;;
3020552;E & Me;2017;2017;Comedy;;;;;;USA;;
3020553;E;2001;2001;Adventure;;;;English;;USA;;55
3020554;e;2003;2003;Animation*Short;;;;Japanese;;Japan;;
3020555;E;2006;2006;Action*Drama*Thriller;;;;Tamil*Telugu;Chennai, Tamil Nadu, India;India;6.7;
3020556;E;2013;2013;Drama*Short;351;;;English;Mississauga, Ontario, Canada;;;
3020557;E;2014;2014;Documentary*History*News*Sci-Fi*Short;;;;Portuguese;;Brazil;;
3020558;E;2015;2015;Drama*Mystery*Short;;;;English;;Canada;;
3020560;E 13-ta;2010;2010;Crime*Short;21000;;;Albanian*English;;Kosovo;;
3020561;E 18;2010;2010;Drama*Short;165111;;;;;Norway;;
3020562;E = MC Dead;2011;2011;Comedy*Horror*Sci-Fi*Short;21250;;;English;;USA;;
3020564;E a Vida Continua...;2012;2012;Drama;;;;Portuguese;;Brazil;5.5;98
3020565;E adesso raccontami di te;2005;2005;Drama*Short;12000;;;Italian;;Italy;;
3020567;E Agora Jos? - Tortura do Sexo;1979;1979;Drama;;;;Portuguese;;Brazil;3.0;
3020568;E Agora, Jos?;2002;2002;Documentary*Short;;;;Portuguese;;Brazil;;
3020570;E Agora?;2008;2008;Music*Short;28;;;Brazilian Sign Language;;Brazil;;
3020571;E agora?;2014;2014;Comedy*Family*Music*Short;;;;Portuguese;;Brazil;;
3020572;E Agora? Lembra-me;2013;2013;Biography*Documentary*History;;;;Portuguese;Madrid, Spain*Portugal;Portugal*Spain;7.4;
3020573;E ainda a Procisso vai no Adro;2011;2011;Short;;;;Portuguese;;Portugal;;
3020574;E alla fine pisciami nel cazzo;2015;2015;Adult;;;;Italian;;Italy;;
3020575;E allora mambo!;1999;1999;Comedy;;;;Italian;Bologna, Emilia-Romagna, Italy;Italy;6.4;
3020576;E Alm de Tudo Me Deixou Mudo o Violo;2013;2013;Drama;;;;Portuguese;;Brazil;7.2;
3020577;E Amanh...;2011;2011;Drama*Thriller;3000;;;Portuguese;Cabo da Roca, Sintra, Portugal	*Lisbon, Portugal	*Sintra, Lisbon, Portugal;Portugal;6.4;90
3020578;E Arioi vahine;2008;2008;Drama*Short;30281;;8;Polynesian;Tahiti, French Polynesia;Australia;7.6;15
3020579;E As Plulas Falharam;1976;1976;Comedy;;;;Portuguese;;Brazil;;80
3020580;E assim..;2011;2011;Short;400;;;Portuguese;;Portugal;;
3020582;E A... Comeu?;2012;2012;Comedy;278482;;;Portuguese;;Brazil;5.8;
3020584;E bao;1972;1972;Action;;;;Mandarin;;Taiwan*Hong Kong;5.3;
3020585;E bas cu naci te zvezde;1968;1968;Short;;;;Serbo-Croatian;;Yugoslavia;;
3020586;E Berta filava;2012;2012;Drama*Short;;;;Italian;;Italy;;
3020587;E Cantava Le Canzoni;2009;2009;Documentary*Short;;;;Italian;;Italy;;
3020588;E cominci il viaggio nella vertigine;1974;1974;Drama*War;;;;Italian;;Italy;4.7;120
3020589;E Day Is Coming;2017;2017;Comedy;;;;;;Canada;;
3020590;E Depois, Matei-o;2012;2012;Drama;;;;Portuguese;;Portugal;7.7;
3020591;E diela e fundit;1993;1993;Drama;;;;Albanian;;Albania;4.4;
3020592;E Dio disse a Caino...;1970;1970;Western;;;;Italian;;Italy*West Germany;6.8;93
3020594;E dreptul meu!;2006;2006;Drama;;;;Romanian;Romania*MediaPro Studios, Bucharest, Romania;Romania;6.5;
3020595;E Eles No Voltaram;1960;1960;War;;;;Portuguese;;Brazil;;
3020596;E Era o Vento... e Era o Mar;1966;1966;Documentary*Short;;;;Portuguese;Cabo Espichel, Sesimbra, Setbal, Portugal*Castelo, Sesimbra, Setbal, Portugal	*Fortaleza de Santiago, Sesimbra, Setbal, Portugal*Hotel do Mar, Sesimbra, Setbal, Portugal	*Moinho da Azoia, Sesimbra, Setbal, Portugal*Praia da Califrnia, Sesimbra, Setbal, Portugal*Santurio de Nossa Senhora, Cabo Espichel, Sesimbra, Setbal, Portugal*Sesimbra, Setbal, Portugal;Portugal;;
3020597;E Fien Hierke Vaan 'Mestreech Veuroet';1907;1907;Short;;;;Dutch;;Netherlands;;
3020598;E finisce cos;1995;1995;Drama*Short;;;;Italian;;Italy;;
3020599;E Foi Assim o 19 Portugal-Espanha;1947;1947;Documentary;;;;;;Portugal;;
3020600;E for Eva;2007;2007;Adult;;;;English;;USA;8.3;
3020602;E for Experimental;1975;1975;Short;;;;English;;UK;;
3020603;E fshehta e nj nate;1978;1978;Drama*Short;;;;Albanian;;Albania;;
3020604;E fu sera e fu mattina;2014;2014;Drama;70000;;;Italian;;Italy;6.6;
3020605;E gia lesa, ola mesa;1985;1985;Adult;;;;Greek;;Greece;;85
3020606;E Government - Verwaltung im 21. Jahrhundert;2006;2006;Documentary*Short;17000;;;German;Wiesbaden, Hessen, Germany;Germany;;14
3020607;E guardo il mondo da un obl;2007;2007;Comedy;;;;Italian;;Italy;;
3020608;E gun tian shi;2015;2015;Comedy;;93124237;;Chinese*Mandarin;;China;4.5;
3020609;E Haku Inoa: To Weave a Name;2012;2012;Documentary;;;;English;;USA;6.1;
3020611;E Ho'omau!: Pele Searches for a Home;2011;2011;Adventure*Animation*Family*History*Short;;;;English;;USA;;
3020612;E Ho'omau!: The Menehune and the Birds;2011;2011;Adventure*Animation*Family*History*Short;;;;English;;USA;;
3020613;E Ho'omau!: Why Maui Snared the Sun;2011;2011;Adventure*Animation*Family*History*Short;;;;English;;USA;;
3020614;E hu cun;1974;1974;Action;;;;Mandarin;;Hong Kong;6.3;
3020615;E hu kuang long;1972;1972;Action*Drama;;;;Mandarin;;Hong Kong;6.1;110
3020616;E i a lo solelh - Franois Fontan e la descuberta de l'Occitania;1999;1999;Documentary;;;;Occitan*Italian*French*Catalan;;Italy;;
3020617;E il Casanova di Fellini?;1975;1975;Documentary;;;;Italian;;Italy;7.4;72
3020619;E Invece No!;2013;2013;Short;;;;Italian;;Italy;;
3020620;E io non pago;2012;2012;Comedy;;;;Italian;Poltu Quatu, Arzachena, Sassari, Sardegna, Italy;Italy;3.6;
