ID;Title;Year;EndYear;Genre;Budget;Gross;FilmingDays;Language;Locations;Countries;Rating;Duration
3060588;F;1998;1998;Mystery;;;;Japanese;;Japan;;102
3060589;F;2000;2000;Short*Documentary;;;;Portuguese;Bahia, Brazil*Braslia, Distrito Federal, Brazil*Cear, Brazil*Gois, Brazil*Par, Brazil*Pernambuco, Brazil*So Paulo, So Paulo, Brazil;Czech Republic*Slovenia*Brazil;8.1;15
3060590;F;2009;2009;Comedy*Drama*Short;;;;English;;Canada;5.5;
3060591;F;2010;2010;Horror*Thriller;175844;;;English;;UK;4.7;
3060592;F;2012;2012;Comedy*Short;;;;English;;USA;7.1;
3060593;F;2015;2015;Drama*Short;;;;English;;USA;;
3060594;F 63.9;2016;2016;Short;;;;Polish;;Poland;;
3060595;F 63.9 Bolezn lyubvi;2013;2013;Comedy*Drama;;;;Ukrainian*French*Russian;Kiev, Ukraine;Ukraine;6.4;82
3060596;F as in Madhis;2010;2010;Drama*News*Short;;;;Persian;;USA;;
3060597;F comme Fairbanks;1976;1976;Comedy*Drama;;;68;French;;France;6.8;110
3060598;F comme Franois;1985;1985;Documentary*Short;;;;;;Spain;;8
3060599;F Dock;2013;2013;Comedy*Drama*Romance*Short;;;;English;;USA;;
3060600;F for Fake;1973;1973;Documentary;;;;English*French*Spanish;Orly Airport, Orly, Val-de-Marne, France	*Beverly Hills, California, USA	*Chartres, Eure-et-Loir, France	*Las Vegas, Nevada, USA	*Paris, France	*Toussaint, Haute Normandie, Seine Maritime, France;France*Iran*West Germany;7.8;
3060601;F for favor;2008;2008;Short;;;;Spanish;;Cuba;6.7;2
3060602;F For Fibonacci;2015;2015;Biography*Short;;;;English;;UK;;
3060603;F for Francesca;2010;2010;Adult;;;;English;;USA;;
3060604;F for Franco;2016;2016;Biography*Documentary;;;;;;USA;;
3060605;F is for Freedom;2014;2014;Comedy*Family*Fantasy*Short;;;;English;;USA;;
3060606;F is for Friends Forever;2017;2017;Short*Thriller;117;;;English;Harlow, Essex, England, UK;UK;;
3060607;F is for Friendship;2016;2016;Comedy*Drama*Short;;;;English;;USA;;
3060608;F Marks the Spot;2014;2014;Adventure*Comedy*Documentary*Mystery;25501;;;English;Texas, USA	*New Mexico, USA;USA;;
3060609;F Marry Kill;2009;2009;Comedy*Short;;;;English;;USA;;
3060610;F Meat;2015;2015;Drama*Fantasy*Sci-Fi*Short*Thriller;;;;English;;Australia;;
3060611;F My A;2005;2005;Adult;;;;English;;USA;;125
3060612;F My C;2011;2011;Drama*Short;23612;;;English;Cleveland, Ohio, USA;USA;6.9;
3060613;F My Life;2010;2010;Short;;;;English;;Australia;;
3060614;F no inb;2002;2002;Adult;;;;Japanese;;Japan;;
