ID;Title;Year;EndYear;Genre;Budget;Gross;FilmingDays;Language;Locations;Countries;Rating;Duration
3103118;G & G: Saint Fiction;2006;2006;Comedy*Short;702;;;English;;Canada;3.9;
3103119;G & G: Supermans' Tights;2008;2008;Crime*Short;176;;;English;;Canada;;
3103120;G;1983;1983;Drama*Music;;841734;;Swedish;Bergsj, Gvleborgs ln, Sweden*Sdermalm, Stockholm, Stockholms ln, Sweden;Sweden;5.3;
3103121;G;2002;2002;Drama*Romance;;2853026;;English;;USA;5.0;97
3103122;G;2012;2012;Horror*Short*Thriller;;;;English;;Ireland;;
3103123;G;2013;2013;Drama*Sci-Fi*Short;;;;English;;Canada;;
3103124;G;2016;2016;Action*Short;;;;Russian;;Russia;;
3103128;G - A Wanton Heart;2015;2015;Drama;206154;;;Hindi;;India;6.0;
3103130;G aka Low-G;2017;2017;Action;;;;English;;;;
3103131;G and I;2012;2012;Adventure*Drama*Fantasy*Short;;;;English;;USA;;
3103132;G Battery Royal Horse Artillery in Action;1899;1899;Documentary*Short;;;;English;;UK;;
3103133;G Darius;1997;1997;Action*Adventure*Sci-Fi;;;;None;;Japan;8.7;
3103134;G for Gary;2008;2008;Drama*Fantasy*Short;;;;;;USA;;
3103135;G for Genie;2014;2014;Short;14;;;English;;Canada;;
3103136;G for Gianna;2006;2006;Adult;;;;English;;USA;8.8;
3103137;G in the Heart;2008;2008;Drama*Romance*Thriller;;;;Spanish*Italian*Greek*English;;;;
3103139;G Is for Groan;2016;2016;Horror*Short;472;;;English;;USA;;
3103140;G Love;2009;2009;Comedy*Romance*Short;47223;;;English;;USA;8.2;
3103141;G Man;1978;1978;Short;;;;English;New York City, New York, USA;USA;6.2;28
3103142;G Marks the Spot: A Good Vibrations Guide to the G Spot;2003;2003;Adult;;;;English;Oakland, California, USA*San Francisco, California, USA;USA;;55
3103143;G O'Clock;2016;2016;Drama*Short;3517;;;English;London, England, UK;UK;6.0;
3103144;G Parents TV;2016;2016;Documentary;112540;;;English;;UK;;
3103145;G plus B;2016;2016;Action;;;;Japanese;;Japan;;
3103146;G Police;1997;1997;Action*Adventure*Sci-Fi;;;;;;UK;8.0;
3103147;G Police: Weapons of Justice;1999;1999;Action*Adventure;;;;English;;USA*Canada*UK;8.1;
3103148;G Rated Fight Club;2015;2015;Animation*Family*Short;;;;English;;USA;;
3103149;G Sonic;1996;1996;Action*Adventure*Family*Fantasy*Sci-Fi;;;;English*Japanese;;Japan;5.6;
3103150;G Spot Girls;1988;1988;Adult;;;;English;;USA;;71
3103151;G Spots?;2001;2001;Fantasy*Sci-Fi*Short;;;;English;;USA;5.7;
3103152;G String Vampire;2005;2005;Horror;;;;English;;USA;3.8;
3103154;G'aroyib orzular;2011;2011;Comedy*Musical;;;;Uzbek;;Uzbekistan;;
3103157;G'Day LA;2007;2007;Comedy;1761308;;;English;;;;
3103159;G'Day, USA!;2014;2014;Comedy*Short;;;;English;New York City, New York, USA;USA;;
3103160;G'Men 2020;2020;2020;Action;;;;;;USA;;
3103161;G'naw;2017;2017;Comedy*Horror;;;;English;;;;
3103162;G'ol!;1983;1983;Documentary*Sport;;;;English;;UK;7.5;
3103163;G'Ra: Speak Too Soon;2011;2011;Music*Short;;;;English;;USA;;
3103164;G's to Gents Top Ten Gentlemen's Club;2008;2008;Reality-TV;472233;;;English;Friars Club - 107 West 45th Street, Manhattan, New York City, New York, USA*Friars Club, New York City, New York, USA;USA;6.5;60
3103165;G'schichten aus dem Wienerwald;1921;1921;Short;;;;German;;Austria;;
3103167;G'schichten aus dem Wienerwald;1934;1934;Musical;;;;German;;Austria;;88
3103168;G'schichten aus dem Wienerwald;1961;1961;Drama;;;;German;;Austria;8.4;120
3103169;G'schichten aus der Steirmark;1929;1929;Short;;;;German;;Austria;;
3103171;G- Based on Male Sexual Harassment;2014;2014;Drama*Short;2749;;;Hindi;;India;;
3103172;G--! They're Big!;1981;1981;Adult;;;;English;;USA;;
3103173;G-2;1965;1965;Action;;;;English*Filipino*Tagalog;Philippines;Philippines;;
3103174;G-23;2005;2005;Short;6616;;;Mandarin;Singapore;Singapore;7.1;19
3103175;G-Block: Doing Time Was Never More Fun;2012;2012;Comedy*Short;51001;;;English;Fred C. Nelles Correctional Facility, Whittier, California, USA*Los Angeles, California, USA;USA;;
3103176;G-Coast Freak Show;2005;2005;Short*Sport;;;;;;USA;;
3103177;G-cup kyony bondage Meguri;2014;2014;Adult;;;;Japanese;;Japan;;
3103178;G-Dog;2012;2012;Documentary;;;;English;;USA;7.8;
3103179;G-Eazy: I Mean It;2014;2014;Music*Short;;;;English;;USA;;
