ID;Title;Year;EndYear;Genre;Budget;Gross;FilmingDays;Language;Locations;Countries;Rating;Duration
3186225;I & I: An African Allegory;1979;1979;Short;;;;;;USA;;
3186226;I 'centauri': Esercitazioni dei Cavalleggeri a Pinerolo;1908;1908;Documentary*Short;;;;Italian;;Italy;;
3186227;I 'nona';1981;1981;Comedy;;;;Greek;;Greece;6.4;93
3186229;i;1998;1998;Short;;;;English;;USA;;
3186230;i;2004;2004;Drama*Short;;;;English;Los Angeles, California, USA;USA;8.3;16
3186231;i;2006;2006;Documentary;;;;Spanish;;Argentina;6.6;
3186232;i;2007;2007;Drama*Horror*Short;469;;;None;UK;UK;6.6;2
3186233;i;2008;2008;Drama*Short;15000;;;English;Dublin, County Dublin, Ireland;Ireland;;7
3186234;I;2010;2010;Drama*Fantasy*Short;;;;English;;UK;;
3186235;I;2011;2011;Drama*Short;;;;English;;Canada;;
3186236;I;2012;2012;Horror*Short*Thriller;;;;Arabic;;Qatar;5.5;
3186237;i;2015;2015;Action*Romance*Thriller;28333963;;;Tamil;;India;7.5;
3186238;I;2016;2016;Animation*Short;;;;;;Iran;;
3186239;i;2016;2016;Animation*Short;;;;;;China;;
3186240;i;2018;2018;Short*Thriller;;;;;;India;;
3186246;I - Ninja!;2008;2008;Action*Animation*Sci-Fi*Short;;;;Russian;Buzuluk City, Orenburg, Russia;Russia;;20
3186248;I 2 deputati;1968;1968;Comedy;;;;Italian;Cinecitt Studios, Cinecitt, Rome, Lazio, Italy*E.U.R., Rome, Lazio, Italy*Rome, Lazio, Italy;Italy;6.6;
3186250;I 2 pompieri;1968;1968;Comedy;;;;Italian;Incir De Paolis Studios, Rome, Lazio, Italy*Rome, Lazio, Italy*The Colosseum, Rome, Lazio, Italy*Vatican City;Italy;4.6;
3186251;I 2 soliti idioti;2012;2012;Comedy;;8720914;;Italian;;Italy;3.7;
3186252;I 28 giorni di Claretta;1927;1927;Short;;;;Italian;;Italy;;
3186253;I 3 aquilotti;1942;1942;Romance*War;;;;Italian;Caserta, Campania, Italy	*Cinecitt Studios, Cinecitt, Rome, Lazio, Italy;Italy;5.3;80
3186254;I 36 colpi;1997;1997;Drama*Short;;;;Italian;;Italy;;8
3186255;I 4 inesorabili;1965;1965;Western;;190078;;Italian;Almera, Andaluca, Spain*Colmenar Viejo, Madrid, Spain*Elios Studios, Rome, Lazio, Italy	*Hoyo de Manzanares, Madrid, Spain*Madrid, Spain*Manzanares el Real, Madrid, Spain*Torrelaguna, Madrid, Spain;Italy*Spain;4.9;
3186256;I 4 monaci;1962;1962;Comedy;;;;Italian;;Italy;6.3;
3186257;I 4 tassisti;1963;1963;Comedy;;;;Italian;Milan, Lombardia, Italy*Naples, Campania, Italy*Rome, Lazio, Italy*Turin, Piedmont, Italy;Italy;5.7;73
3186258;I 5 della vendetta;1966;1966;Western;;60747;;Italian;Cinecitt Studios, Cinecitt, Rome, Lazio, Italy	*Esplugues de Llobregat, Barcelona, Catalonia, Spain;Italy*Spain;5.5;90
3186259;I 600 giorni di Sal;1991;1991;Documentary;;;;Italian;;Italy;6.5;
3186260;I 7i imera tis dimiourgias;1966;1966;Drama;;;;Greek;;Greece;6.6;
3186261;I <3 a Serial Killer;2015;2015;Short;1039;;;English;Orlando, Florida, USA;USA;;10
3186262;I <3 U 4Vr;2014;2014;Sci-Fi*Short;;;;English;Maastricht, Limburg, Netherlands;Belgium*Netherlands;8.6;
3186263;I Acampamento Internacional da Mocidade Portuguesa;1960;1960;Documentary;;;;;;Portugal;;
3186264;I Accept That;2011;2011;Comedy*Short;;;;English;;USA;;
