ID;Title;Year;EndYear;Genre;Budget;Gross;FilmingDays;Language;Locations;Countries;Rating;Duration
3248442;K;1997;1997;Crime*Thriller;;;;French;Berlin, Germany*Hamburg, Germany*Paris, France*Tel Aviv, Israel;France;6.3;
3248443;K;2002;2002;Drama*Fantasy;;;;English;Morocco*Nevada, USA;USA*Iran*Morocco;6.3;85
3248444;k;2002;2002;Animation*Short;250;;;None;;Austria;;
3248445;K;2004;2004;Short;;;;Spanish;;Spain;;
3248446;K;2005;2005;Romance*Short;;;;Spanish;;Spain;6.8;
3248447;K;2008;2008;Drama*Short;23446;;;English;Isle of Sheppey, Kent, England, UK;UK;7.9;19
3248452;K;2016;2016;Drama*Short;;;;English;;USA;;
3248457;K - Das Haus des Schweigens;1951;1951;Drama;;;;German;;West Germany;;
3248458;K - The Unknown;1924;1924;Mystery;;;;English;;USA;5.9;
3248463;K Citizen;2010;2010;Drama*Short;33056;;6;English;;France*USA;9.1;
3248465;K for Karma;2014;2014;Drama*Music*Short;;;;English;;USA;;
3248466;K for klods;1967;1967;Animation;;;;Danish;;Denmark;;
3248468;K Is for Krazy;2007;2007;Comedy*Short;4722;;;English;Los Angeles, California, USA;USA;;8
3248469;K kichen;2005;2005;Short;;;;Spanish;;Spain;;
3248470;K komu zaletel pevchiy kenar...;1980;1980;Drama*Romance;;;;Russian;;Soviet Union;8.4;
3248472;K Narodnoi Vlasti;1917;1917;Drama;;;;Russian;;Russia;;
3248473;K novomu beregu;1955;1955;Drama*History;;;;Russian;;Soviet Union;;
3248474;K novym beregam;1969;1969;Biography*Music;;;;Russian;;Soviet Union;;
3248475;K oblakum vzhlzme;2014;2014;Documentary*Drama;;;;Czech;;Czech Republic;7.3;
3248476;K prebyvaniyu v Moskve uchastnikov sessii ispolkoma mezhdunarodnoiy demokraticheskoy federatsii zhenshchin;1946;1946;Documentary*Short;;;;Russian;;Soviet Union;;
3248477;K princeznm se necuch;1965;1965;Animation*Comedy*Family*Short;;;;Czech;;Czechoslovakia;8.1;14
3248478;K sluzbam;2002;2002;Documentary;;;;Czech;Prague, Czech Republic;Czech Republic;;
3248479;K smette di fumare;2012;2012;Thriller;10000;;;Italian;;Italy;6.3;
3248480;K sobytiyam v Zakavkazye;1990;1990;Documentary*Short*War;;;;Russian;Krasnodon, Ukraine;Soviet Union;6.4;
3248481;K sta tornando a casa;1996;1996;Short;;;;;;Italy;;
3248482;K svetu;1968;1968;Drama;;;;;;Soviet Union;;84
3248483;K svoim!;1983;1983;Drama;;;;Russian;;Soviet Union;;
3248485;K vam prishyol angel...;2004;2004;Drama;;;;Russian;;Russia;;
3248486;K voprosu o peremirii s Finlyandiey;1945;1945;Documentary;;;;Russian;;Soviet Union;6.6;
3248487;K vs. A;2013;2013;Drama;;;;Japanese;;Japan;;
3248488;K yugu ot severa;2003;2003;Animation*Comedy*Family*Short;;;;None;;Russia;;
3248489;K! 20: Most Epic Rock Videos;2007;2007;Music;;;;English;;UK;;
3248490;K! 50: Lost Prophets' 21st Century Anthems;2007;2007;Music;;;;English;;UK;;
3248491;K&P;2013;2013;Drama*Short;;;;English;;UK;9.7;
3248492;K' ego gia mena;2009;2009;Biography*Comedy*Drama*Short;;;;Greek;Piraeus, Greece;Greece;7.8;19
3248493;K'an;2013;2013;History*Mystery*Short;;;;;;USA;;
3248494;K'fafot;1986;1986;Drama;;;;Hebrew;;Israel;;
3248495;K'i'smat;2009;2009;Short;206;;;Hindi;Mumbai, Maharashtra, India;India;;
3248496;K'ina Kil: The Slaver's Son;2014;2014;Action*Drama*Short*Western;;;;English;;USA;;18
3248497;K'mon;2014;2014;Animation*Short;944;;;Portuguese;;Brazil;;
3248498;K'na, the Dreamweaver;2014;2014;Drama;;;;Filipino*Tagalog;;Philippines;7.1;
3248499;K'naan: In the Beginning;2009;2009;Music*Short;;;;English;;USA;;
3248500;K'Nibble;2014;2014;Mystery*Short;117;;;English;;UK;;
3248501;K'Nights: The Trees Move;2011;2011;Comedy;;;;English;Portland, Oregon, USA;USA;;71
3248502;K's Choice: Believe;1998;1998;Music*Short;;;;English;;;;
3248504;K, Short Film;2007;2007;Sci-Fi*Short;6611;;;Spanish;Mexico City, Distrito Federal, Mexico;Mexico;;15
3248505;K-1 Star Wars '96;1996;1996;Sport;;;;Japanese;Yokohama, Kanagawa, Japan;Japan;;
3248506;K-1 Stars War;2003;2003;Sport;331706;;;Croatian*English;Zagreb, Croatia;Croatia;8.2;
3248507;K-1 World Max 2012: Final 8 Athens;2012;2012;Sport;;;;Greek;;Greece;;
3248508;K-10 Stunden Angst;2015;2015;Crime;;;;German;;Austria;;
3248509;K-11;2012;2012;Drama;;;;English;Sybil Brand Institute for Women - 4500 E. City Terrace Drive, Monterey Park, California, USA;USA;5.2;
3248510;K-117;2008;2008;Mystery*Short;;;;Spanish;Aranjuez, Madrid, Spain	*Madrid, Spain;Spain;;12
3248511;K-19: Doomsday Submarine;2002;2002;Documentary*History;;;;English;;Canada;7.0;
3248512;K-19: It's in the Details;2002;2002;Short;;;;English;;USA;;
3248513;K-19: The Widowmaker;2002;2002;Drama*History*Thriller*War;94446543;28850737;130;English*Russian;Gimli, Manitoba, Canada*Halifax, Nova Scotia, Canada*Iceland*Lake Winnipeg, Manitoba, Canada*Moscow, Russia*Pinewood Studios, Iver Heath, Buckinghamshire, England, UK	*Russia*Toronto, Ontario, Canada*Winnipeg, Manitoba, Canada;UK*Germany*USA*Canada;6.7;
3248514;k-209;2016;2016;Drama*Short;;;;;;Canada;;
3248515;K-20: Kaijin nij mens den;2008;2008;Action*Adventure*Crime*Drama;;20778240;120;Japanese;Matsuyama, Ehime, Japan*Shanghai, China*Tokyo, Japan;Japan;6.8;
3248516;K-7;2006;2006;Comedy*Short;;;;English;;USA;7.4;18
3248517;K-9;1989;1989;Action*Comedy*Crime;;73902198;91;English;2608 National Ave, San Diego, California, USA	*Coronado Beach, Coronado, California, USA*Golden Hills Coffee Shop - 2505 C St, San Diego, California, USA	*Hotel del Coronado - 1500 Orange Avenue, Coronado, California, USA*San Diego, California, USA*Symbolic Motorcar Company - 7440 La Jolla Blvd - San Diego, California, USA;USA;5.9;
3248518;K-9;1991;1991;Crime;;;;English;;USA;5.8;
3248520;K-9 Adventures: A Christmas Tale;2013;2013;Family;;;;English*French;;USA;4.9;86
3248521;K-9 Adventures: Legend of the Lost Gold;2014;2014;Adventure*Family;;;;English;Heber City, Utah, USA;USA;5.8;
3248522;K-9 and Company: A Girl's Best Friend;1981;1981;Mystery*Sci-Fi;;;;English;Miserden, Gloucestershire, England, UK;UK;6.3;50
3248523;K-9 Corrections;2001;2001;Documentary;;;;;;Canada;;
3248524;K-9 Hunts Takas;1981;1981;Action;;;;Tagalog*Filipino;;Philippines;;
3248525;K-9 Kadets;1944;1944;Documentary*Short;;;;English;;USA;;
3248526;K-9000;1991;1991;Crime*Sci-Fi;;;;English;Los Angeles, California, USA;USA;4.9;
3248527;K-9000: A Space Oddity;1968;1968;Animation*Comedy*Short;;;;English;;USA;;
3248528;K-911;1999;1999;Action*Comedy*Crime*Mystery;;;60;English;;USA;5.6;
3248529;k-911;2011;2011;Comedy;37779;;;English;Long Island, New York, USA*Los Angeles, California, USA*North Hollywood, Los Angeles, California, USA*San Diego, California, USA;USA;6.9;81
3248530;K-9: P.I.;2002;2002;Action*Comedy*Crime;;;34;English;Vancouver, British Columbia, Canada;USA*Canada;5.7;
3248531;K-9Lives: Episode1;2009;2009;Animation*Short;2931;;;None;;UK;;2
3248532;K-based;2014;2014;Short;30;;;English;Abruzzo, Italy;Italy;;
3248533;K-Corea lNC.K;2009;2009;Short;;;;English;;USA;;
3248534;K-cup 107cm chichi-momi makuri sui makuri tan'n sex! Boin Miyoshi Aya box 2;2015;2015;Adult;;;;Japanese;;Japan;;
3248535;K-cup bakuny cosplayer hajimete no rank satsuei-kai: Yatsuka Mikoto;2015;2015;Adult;;;;Japanese;;Japan;;
3248536;K-cup beach: Mizugi de H sukiyanen;2006;2006;Adult;;;;Japanese;;Japan;;
3248537;K-cup boin shirto nama-nakadashi: Miyoko;2010;2010;Adult;;;;Japanese;;Japan;;
3248538;K-cup bondage: Deka chichi naburi: mai Juria;1993;1993;Adult;;;;Japanese;;Japan;;
3248539;K-cup ij gentei bakuny fuck;2011;2011;Adult;;;;Japanese;;Japan;;
3248540;K-cup joshi ksei: Minami Jun - ki-sugiru oppai ga hazukashii;2011;2011;Adult;;;;Japanese;;Japan;;
3248541;K-cup jukujo Kan Kimiko: Shinseki no ie de onattetara, metcha bakuny no itoko no okusan ga tetsudatte kureta!;2014;2014;Adult;;;;Japanese;;Japan;;
3248542;K-cup kamen chijo wa jimi de bakuny na imto datta.;2015;2015;Adult;;;;Japanese;;Japan;;
3248543;K-cup ni natte shimouta!;2006;2006;Adult;;;;Japanese;;Japan;;
3248544;K-cup ninpu Yki: Wake ari shirto okusan ni nakadashi;2015;2015;Adult;;;;Japanese;;Japan;;
