ID;Title;Year;EndYear;Genre;Budget;Gross;FilmingDays;Language;Locations;Countries;Rating;Duration
3466975;O 'Courageous';1932;1932;Documentary;;;;;;Portugal;;
3466976;O 'Niassa';1952;1952;Documentary;;;;;;Portugal;;
3466977;O;1995;1995;Animation*Short;9445;;;English;;India;;
3466978;O;2001;2001;Drama*Romance*Thriller;4722327;17501025;38;English;Charleston, South Carolina, USA;USA;6.2;
3466979;O;2002;2002;Short;;;;Spanish;Buenos Aires, Federal District, Argentina;Argentina;7.0;
3466980;O;2005;2005;Drama*Short;15000;;;English;Ardmore Studios, Herbert Road, Bray, County Wicklow, Ireland;Ireland;4.6;3
3466981;O;2006;2006;Short;;;;Dutch;;Belgium;;
3466984;O;2012;2012;Drama*Mystery*Short;;;;English;;UK;;
3466985;O;2014;2014;Short;1133;;;English;New York City, New York, USA;USA;;
3466986;O;2015;2015;Drama*Fantasy*Horror*Mystery*Short*Thriller;5504;;;Norwegian;Jevnaker, Norway;Norway;;
3466987;O;2016;2016;Animation*Short;;;;;;USA;;
3466991;O - Land;2014;2014;Comedy*Fantasy;;;;Turkish;;Turkey;;
3466992;O - Maru;2002;2002;Comedy*Romance;;;;English*French*Japanese*Portuguese;New York, USA;USA;;
3466993;O 130 Aniversrio do Colgio Militar;1932;1932;Documentary;;;;;;Portugal;;
3466994;O 13os;1967;1967;Drama*War;;;;Greek;;Greece;5.2;
3466995;O 13os theos: Alexandros o Megas;1987;1987;Documentary*Short;;;;Greek;;Greece;;30
3466996;O 14 de Julio en Manaus;1911;1911;Documentary*Short;;;;Portuguese;;Brazil;;
3466997;O 20os aionas mesa apo to vlemma tou Th. Angelopoulou;2001;2001;Documentary;;;;Greek;;Greece;;59
3466998;O 2 Comboio Mistrio;1932;1932;Documentary;;;;;;Portugal;;
3467000;O 4 Crescente de Ana Pessoa;2011;2011;Short;;;;Portuguese;;Portugal;;
3467001;O 5 Poder;1962;1962;Crime;;;;Portuguese;Rio de Janeiro, Rio de Janeiro, Brazil;Brazil;7.7;
3467002;O 7os ilios tou erota;2001;2001;Drama*Romance;;;;Greek;;Greece*Bulgaria*Turkey;6.8;124
3467003;O 8 Centenrio da Tomada de Lisboa;1947;1947;Documentary;;;;;;Portugal;;
3467004;O Abajour;2011;2011;Drama;;;;Portuguese;;Brazil;6.6;
3467006;O Abismo;1977;1977;Drama;;;;Portuguese;;Brazil;6.6;
3467007;O Abismo Prateado;2011;2011;Drama;;;;Portuguese;;Brazil;6.6;
3467008;O Aborto dos Outros;2008;2008;Documentary;;;;Portuguese;So Paulo, So Paulo, Brazil;Brazil;6.7;72
3467009;O Aborto No  Um Crime;1975;1975;Documentary*Short;;;;;;Portugal;;
3467010;O Abrao Corporativo;2009;2009;Documentary*News;;;;Portuguese;;Brazil;7.5;
3467011;O Absolutismo das Coisas;2012;2012;Drama*Short;;;;Portuguese;;Brazil;;
3467012;O Acidente;2008;2008;Animation*Short;;;;Portuguese;;Portugal;;
3467013;O Acre Existe;2014;2014;Adventure*Documentary*Family*History*Musical;11139;;;Portuguese;Acre, Brazil*So Paulo, So Paulo, Brazil;Brazil;8.3;115
3467015;O adam kim;1951;1951;Drama;;;;Turkish;;Turkey;;
3467016;O adelfos;1994;1994;Short;;;;Greek;;Greece;;
3467017;O adelfos Anna;1963;1963;Adventure;;;;Greek;;Greece;6.9;
3467018;O adelfos mou ki ego;1998;1998;Drama*Music;;;;Greek*English;;Greece;5.7;96
3467019;O adelfos mou, o... lordos!;1966;1966;Comedy;;;;Greek;;Greece;6.0;
3467020;O adelfos mou... o trohonomos;1963;1963;Comedy;;;;Greek;;Greece;5.8;
3467021;O aderfos tou Jo;2002;2002;Fantasy*Short;70;;;English;;Greece;;
3467022;O Adeus  Brisa;2008;2008;Documentary;;;;Portuguese;;Portugal;;
3467023;O adexios erastis;1984;1984;Drama;;;;Greek;;Greece;;
3467024;O Admirvel Lanador de Dardos;2012;2012;Documentary;11139;;;Portuguese;;Brazil;;13
3467025;O Admirvel Mundo de Frei;2009;2009;Adventure*Short;696;;;Portuguese;Rio de Janeiro, Rio de Janeiro, Brazil;Brazil;;23
3467026;O Adorvel Mentiroso;1963;1963;Comedy;;;;Portuguese;Lisbon, Portugal;Portugal;;
3467027;O Adrienu;1919;1919;Drama;;;;;;Czechoslovakia;;
3467028;O Aeroporto de Lisboa no Campo Grande;1928;1928;Documentary;;;;;;Portugal;;
3467029;O aetos tis plateias;1988;1988;Comedy;;;;Greek;;Greece;;
3467030;O aetos ton sklavomenon;1970;1970;Drama*Romance*War;;;;Greek;;Greece;4.1;
3467032;O Afilhado de Sto. Antnio;1928;1928;Short;;;;;;Portugal;;
3467033;O Afinador;2012;2012;Drama*Music*Short;;;;Portuguese;Sao Paulo, Brazil;Brazil;6.6;
3467034;O aforesmenos;1982;1982;Drama;;;;Greek;;Greece;;
3467035;O aftakias;1982;1982;Comedy;;;;Greek;;Greece;3.9;
3467036;O aftarhismos stin ekpaidefsi;1986;1986;Documentary*Short;;;;Greek;;Greece;;25
3467037;O aftoheiras;1997;1997;Short;;;;Greek;;Greece;6.3;7
3467038;O aftokratoras kai to aidoni;1985;1985;Family;;;;Greek;;Greece;;
3467039;O agacin altinda;1972;1972;Drama;;;;Turkish;;Turkey;6.2;57
3467040;O Agalitsas lagoniko;1985;1985;Comedy;;;;Greek;;Greece;;90
3467041;O agalitsas: Ena exagomeno koroido;1985;1985;Comedy;;;;Greek;;Greece;5.9;
3467042;O agapitikos tis Dimitroulas;1989;1989;Comedy*Musical;;;;Greek;;Greece;;135
3467043;O agapitikos tis voskopoulas;1932;1932;Drama*Romance;;;;Greek;Politika, Euboea, Greece;Greece;6.8;95
3467046;O agapitikos tis voskopoulas;1956;1956;Drama*Romance;;;;Greek;;Greece;5.7;
3467047;O agapoulinos;1986;1986;Comedy;;;;Greek;;Greece;;90
3467048;O agathiaris kai i atsida;1971;1971;Comedy;;;;Greek;;Greece;4.2;
3467049;O Agente da Lei;1969;1969;Thriller;;;;Portuguese;;Brazil;;
3467050;O Agente de Filipe II;2007;2007;History*Short;;;;Portuguese*Spanish;;Portugal;;15
3467051;O Agios Nektarios;1969;1969;Drama;;;;Greek;;Greece;4.2;
3467052;O Agios Prevezis;1982;1982;Drama;;;;Greek;;Greece;6.4;
3467053;O Agios Prevezis... kai i papadia;1982;1982;Comedy*Drama;;;;Greek;;Greece;;
3467054;O Agios tis Skiathou;1965;1965;Documentary*Short;;;;Greek;;Greece;;15
