ID;Title;Year;EndYear;Genre;Budget;Gross;FilmingDays;Language;Locations;Countries;Rating;Duration
3558937;R;2008;2008;Drama*Short;70;;;English;Gosford, New South Wales, Australia*Sydney, New South Wales, Australia;Australia*China;4.0;10
3558938;R;2008;2008;Drama*Short;;;;;Gosford, New South Wales, Australia*Sydney, New South Wales, Australia;Australia*China;;
3558939;R;2010;2010;Crime*Drama;639207;;;Danish*Arabic;Horsens Statsfngsel, Horsens, Jylland, Denmark;Denmark;7.2;96
3558940;R;2011;2011;Drama*Family*Short;;;;English;;UK;;
3558941;R;2012;2012;Drama*Short;4722;;;English;North Kingstown, Rhode Island, USA*Providence, Rhode Island, USA;USA;;
3558942;R;2013;2013;Drama*Short;;;30;English;;USA;;
3558943;R;2015;2015;Drama*Fantasy*Short;;;;English;;USA;;
3558944;R;2016;2016;Drama*Short;1374;;;Hindi;Mumbai, Maharashtra, India;India;;
3558945;R 1138;2011;2011;Short;;;;None;;Germany;;
3558946;R 213;2012;2012;Romance*Short;;;;Spanish*English*French;;France;;
3558947;R a j;2016;2016;Sci-Fi*Short;94;;;English;;Greece;;
3558948;R A V A G E;2013;2013;Horror*Sci-Fi*Short*Thriller;;;;;;USA;;
3558949;R and D;2009;2009;Action*Comedy*Drama*Short;;;;English;;USA;;
3558950;R and J: The True Story;2012;2012;Drama;;;;English;Los Angeles, California, USA;USA;;
3558951;R B Kitaj: A Life;1994;1994;Documentary;35169;;;English;;UK;;
3558952;R D Laing;2016;2016;Drama;;;;;;UK;;
3558953;R de REPSOL;1970;1970;Documentary*Short;;;;;;Spain;;
3558954;R is for ROBOT;2016;2016;Documentary*Drama*Romance*Sci-Fi;;;;English;;UK;;
3558955;R niin kuin Realdoll;2011;2011;Documentary*Short;;;;Finnish;;Finland;;
3558956;R Sacco Oil on Canvas;2014;2014;Biography*Documentary*Short;;;;English;;USA;;
3558957;R Seymore Goes North;2011;2011;Animation*Drama*Short;;;;;;Canada;;
3558958;R Train;2006;2006;Drama*Short;9445;;;English;New York, USA;USA;;10
3558959;R U a Homo;2009;2009;Comedy*Music*Musical*Short;;;;English;;USA;7.8;
3558960;R U Gay?;2008;2008;Comedy*Short;1889;;;English;;USA;;
3558961;R U Invited?;2006;2006;Comedy*Drama*Romance;;;;English*French*Spanish;Texarkana, Arkansas, USA;USA;5.0;
3558962;R U Listening;2011;2011;Drama*Short;;;;English;;USA;;
3558963;R U There;2010;2010;Drama;;;;English*Dutch*Taiwanese*Mandarin;;Netherlands*Taiwan*France;5.5;
3558964;R U There?;2010;2010;Animation;28310058;;;English;;USA;;
3558965;R wie Regen;2002;2002;Short;500;;;Persian;;Germany;8.3;
3558966;R&B Chick;2008;2008;Drama;141670;;;English;Los Angeles, California, USA;USA;5.0;
3558967;R&B Divas Los Angeles: Reunion;2013;2013;Drama;1416698;;;English;;USA;;
3558968;R&B Divas Los Angeles: The Divalogues;2013;2013;Drama;14166981;;;English;;USA;;
3558969;R&B Divas of All Time;2013;2013;Documentary;;;;English;;USA;;
3558970;R&B Divas Pre Party;2013;2013;Reality-TV;;;;English;;USA;;
3558971;R&B's Lost Souls: Aaliyah & Lisa 'Left Eye' Lopes;2011;2011;Documentary*Music;;;;English;;USA;;120
3558972;R&R;1994;1994;Adult;;;;English;;USA;5.7;
3558973;R&R: The Basics;2014;2014;Short;3306;;;English;Santa Ana, California, USA;USA;;
3558974;R&Z Auto;2013;2013;Short;3022;;;English;;USA;;
3558975;R'coon Dawg;1951;1951;Animation*Comedy*Family*Short;;;;English;;USA;6.4;
3558976;R'da;2007;2007;Short;;;;Arabic;;Morocco;;
3558977;R'evol'UTION;2018;2018;Drama;;;;English;;Canada;;
3558978;R'ha;2013;2013;Animation*Sci-Fi*Short;;;;English;;Germany;7.1;
3558980;R'maa;2001;2001;Documentary*Music*Short;;;;Arabic;;Morocco;;
3558982;R+B+G;2005;2005;Short;;;;;;USA;;
3558983;R-1;1927;1927;Short;;;;;;Germany;7.2;
3558984;R-1 Grand Prix;2015;2015;Comedy;;;;Japanese;;Japan;;
3558985;R-1 Grand Prix 2013;2013;2013;Comedy;;;;Japanese;;Japan;;100
3558986;R-1 Grand Prix 2014;2014;2014;Comedy;;;;Japanese;;Japan;;100
3558987;R-18 bungakush vol. 1: Jijjibaku no watashi;2013;2013;Drama;;;;Japanese;;Japan;5.5;106
3558988;R-34;1967;1967;Biography*Short;;;;;;Canada;5.1;
3558989;R-Evolution;2012;2012;Drama*Short;;;;Spanish;Barcelona, Catalonia, Spain*Amer, Girona, Catalunya, Spain;Spain;;10
3558990;R-Files: Rulison Files;2013;2013;Drama*Short;2361;;;English;Hollywood Hills, Los Angeles, California, USA;USA;;
3558991;R-Files: Rulison Files I;2013;2013;Drama*Short;1983;;;English;;USA;;
3558992;R-Generation;2004;2004;Documentary;;;;English;Atlanta, Georgia, USA*Chicago, Illinois, USA*Las Vegas, Nevada, USA*Los Angeles, California, USA*Miami, Florida, USA;USA;6.4;75
3558993;R-Naught 15;2017;2017;Action*Drama*Horror*Sci-Fi;;;58;English;Wynwood Arts District, Miami, Florida, USA*Miami Beach, Florida, USA*Upper Peninsula, Michigan, USA*Frederick, Maryland, USA*Back Creek, Virginia, USA*Brooklyn, New York City, New York, USA;USA;;
3558994;R-r-r;2014;2014;Animation*Short;;;;Russian;;Russia;;
3558995;R-Rated Harry Potter;2015;2015;Animation*Short;;;;English;;USA;3.3;
3558996;R-Rated Pokemon;2007;2007;Action*Comedy*Short;;;;English;;USA;;
3558997;R-Type;1987;1987;Action*Sci-Fi;;;;English;;Japan;7.8;
3558998;R-Type Delta;1999;1999;Action*Fantasy*Horror*Sci-Fi*Thriller;;;;None;;Japan;8.6;
3558999;R-Type Dimensions;2009;2009;Action*Sci-Fi;;;;None;;Sweden*USA;;
3559000;R-Type DX;1999;1999;Sci-Fi;;;;English;;Japan;7.7;
3559001;R-Type Final;2003;2003;Action*Horror*Sci-Fi*Thriller;;;;None;;Japan;8.1;
3559002;R-Type II;1989;1989;Action*Sci-Fi;;;;English;;Japan;7.1;
3559003;R-Type III: The Third Lightning;1994;1994;Action*Adventure*Sci-Fi;;;;Japanese;;Japan;7.2;
3559004;R-Type Leo;1992;1992;Action*Adventure*Sci-Fi;;;;English;;Japan;;
3559005;R-Types;1998;1998;Action*Adventure*Sci-Fi;;;;English;;USA;8.5;
3559006;R-ves;2013;2013;Drama;;;;English;;France*USA;;
3559007;R. B. Kapitny: Radics Bla emlkre;2003;2003;Musical;;;;Hungarian;;Hungary;;
3559008;R. E. K.;2007;2007;Animation*Comedy*Horror*Short;7;;;Russian;;Russia;7.6;
3559009;R. Enstone;2015;2015;Biography*Documentary*Mystery*Short;;;;English;;UK;;
3559010;R. Kelly Live: The Light It Up Tour;2007;2007;Music;;;;English;Oakland, California, USA;USA;8.4;110
3559011;R. Kelly Makes a Sundae;2014;2014;Comedy*Fantasy*Short;;;;English;;USA;;
3559012;R. Kelly Sings Sam Cooke: Live at the Five Star!;2011;2011;Music;;;;English;;USA;8.0;
3559013;R. Kelly: Bump and Grind - You Be the Judge;2002;2002;Adult*Documentary*Short;;;;English;Chicago, Illinois, USA;USA;4.8;
3559014;R. Kelly: Single Ladies Tour;2012;2012;Music;;;;English;;USA;;
3559015;R. Kelly: The King Lives;2012;2012;Music;;;;English;;USA;8.5;
3559016;R. Kelly: The Pied Piper of R&B;2004;2004;Documentary;70835;;;English;;USA;;90
3559017;R. Kelly: The R. in R&B - The Video Collection;2003;2003;Music;;;;English;;USA;8.7;
3559018;R. Kelly: TP-2.com - The Videos;2001;2001;Documentary*Music;;;;English;;USA;6.8;
3559019;R. Luke DuBois: Running Out of Time;2010;2010;Documentary*Music*Short;;;;English;New York City, New York, USA;USA;;30
3559020;R. Mertonensis;2002;2002;Fantasy*Short;;;;None;;France;6.8;
3559021;R. Stern;2014;2014;Drama*Short;;;;English;;USA;;
3559022;R... ne rpond plus;1981;1981;Documentary;;;;French;;Belgium;4.8;
3559023;R... Rajkumar;2013;2013;Action;5497451;12677406;;Hindi;;India;5.1;
3559026;R.A. on Duty;2014;2014;Comedy*Short;944;;;English;;USA;;
3559027;R.A. The Rugged Man: Media Midgets;2015;2015;Action*Music*Short;;;;English;;USA;;
3559028;R.A.B.L.;1985;1985;Short;7556;;;English;;USA;;
3559029;R.A.C.K.;2008;2008;Action*Horror*Short*Thriller;;;;English;;USA;;
3559030;R.A.D. Men;2014;2014;Comedy*Short;;;;English;;USA;;
3559031;R.A.D.D.: Drive My Car;1994;1994;Music*Short;;;;English;;USA;;5
3559032;R.A.D.I.C.A.L.S;2014;2014;Action*Adventure*Family;944465;;;English;Los Angeles, California, USA;USA;4.8;
3559033;R.A.D.i.O.;2013;2013;Drama*Short;2000;;;German;;Germany;;
3559034;R.A.E.;2009;2009;Drama*Short;;;;English;Binghamton, New York, USA;USA;;23
3559035;R.A.F.;1935;1935;Documentary;;;;English;;UK;7.6;
3559036;R.A.F.: First Line of Defence;1949;1949;Animation*Short;;;;English;;UK;;
3559037;R.A.G.E;2012;2012;Action*Crime*Drama*Short;;;;English;;USA;;
3559038;R.A.G.E;2014;2014;Action*Horror*Sci-Fi*Short;;;;English;;USA;;
3559039;R.A.H.M.A.N.;2004;2004;Documentary*Short;;;;English*Malay;Kuala Lumpur, Malaysia;Malaysia;;30
3559040;R.A.N. Comedy Sketch;2014;2014;Comedy*Short;;;;English;;USA;;
3559041;R.A.S.;1973;1973;Drama*War;;;;French;Dreux, Eure-et-Loir, France	*Selja Gorges, Gafsa, Tunisia	*Tunisia	*Senlis, Oise, France;France*Italy*Tunisia;7.2;
3559042;R.A.S.;2004;2004;Short;;;;French;;France;;6
3559043;R.B.I. Baseball 14;2014;2014;Sport;;;;English;;;;
3559044;R.C. Pro-Am;1988;1988;Action*Sport;;;;English;;UK;8.1;
3559045;R.C. Pro-Am II;1992;1992;Sport;;;;English;;UK;;
3559046;R.C.A.F. Air Defence Command;1957;1957;Short;;;;English;;Canada;;
3559047;R.C.A.F. Air Movements: Cargo Service;1963;1963;Documentary*Short;;;;English;;Canada;;
3559048;R.C.A.F. Air Movements: Passenger Service;1965;1965;Documentary*Short;;;;English;;Canada;;
3559049;R.C.A.F. Nuclear Defence: H Hour Now;1959;1959;Documentary*Short;;;;English;;Canada;;
3559050;R.C.C.;2016;2016;Comedy*Short;94;;;English;Los Angeles, California, USA;USA;;
3559051;R.C.M.P. and the Treasure of Genghis Khan;1966;1966;Action;;;;English;;USA;6.3;
3559052;R.C.M.P. File 1365: The Connor Case;1947;1947;Documentary*Drama*Short;;;;English;Halifax Harbor, Halifax, Nova Scotia, Canada*Ottawa, Ontario, Canada*Winnipeg, Manitoba, Canada*Regina, Saskatchewan, Canada*Saskatchewan, Canada;Canada;;36
3559053;R.D.J.9000;2015;2015;Short;189;;;English;;USA;;
3559055;R.E.A.L.;1994;1994;Adult;;;;English;;USA;;
