ID;Title;Year;EndYear;Genre;Budget;Gross;FilmingDays;Language;Locations;Countries;Rating;Duration
3894714;U & Eye;2011;2011;Comedy*Short;;;;Dutch;Film Museum, Amsterdam, Netherlands;Netherlands;;
3894715;U & Me & Tennessee: An American Romance...;2007;2007;Documentary;35169;;;English;Scotland, UK;UK;;93
3894718;U;2004;2004;Horror*Short;944;;;English;;USA;;
3894719;U;2006;2006;Animation*Family*Musical;;;;French;;France;6.5;75
3894720;U;2010;2010;Documentary*News*Short;;;;English;;USA;;
3894721;u;2016;2016;Short;293;;;English;;UK;;
3894723;U 43;2004;2004;Short;;;;English;;Germany;;20
3894724;U 9 Weddigen;1927;1927;Drama*War;;;;;;Germany;;
3894725;U agoniji;1981;1981;Drama;;;;Serbo-Croatian;;Yugoslavia;;
3894726;U aleji velikana i velikih dogadjaja;1977;1977;Documentary*Short;;;;Serbo-Croatian;;Yugoslavia;;
3894727;U autobusu;1986;1986;Documentary*Short;;;;;;Yugoslavia;;
3894728;U B Da Judge;2012;2012;Comedy*Short;;;;English;;USA;7.1;
3894729;U banji jednog dana;1976;1976;Drama;;;;Serbo-Croatian;;Yugoslavia;;
3894730;U Be Dead;2009;2009;Drama*Thriller;;;;English;Dorset, England, UK*Inglis Barracks, Mill Hill, London, England, UK*London, England, UK;UK;6.2;120
3894731;U Belt;2004;2004;Drama;;;;Filipino*Tagalog*English;Malate, Manila, Metro Manila, Philippines;Philippines;3.6;
3894733;U Blocked Me on Fb!;2013;2013;Comedy*Short;;;;English;San Francisco, California, USA;USA;;6
3894734;U Boats at Sea: German Submarines in Action in World War II;1994;1994;Documentary;;;;English;;Germany;;
3894735;U boga svoi plany;2012;2012;Drama;;;;;;Russia;;
3894736;U boj;2016;2016;Documentary*History;;;;Croatian*Hungarian*German;Croatia*Hungary*Austria;Croatia;;52
3894737;U borbi za mir;1957;1957;Documentary*Short;;;;Serbo-Croatian;;Yugoslavia;;
3894738;U borbi za mir;1961;1961;Documentary*Short;;;;Serbo-Croatian;;Yugoslavia;;
3894739;U braku sa svicarcem;2013;2013;Documentary*Drama;;;;Croatian;;Croatia;8.2;55
3894740;U Cabarskoj dolini;1953;1953;Documentary*Short;;;;Serbo-Croatian;;Yugoslavia;;15
3894741;U Can Cope;2012;2012;Documentary*Short;23446;;;English;;UK;;
3894742;U Can't Bully Me;2016;2016;Documentary*Short;;;;English;;USA;;
3894744;U cemu je kvaka?;2016;2016;Comedy;;;;Croatian;;Croatia;;
3894746;U Da Baddest;2015;2015;Music*Short;23612;;;English;;USA;;
3894747;U Danusi;2002;2002;Documentary;67883;;;Polish;Julinek, Mazowieckie, Poland;Poland;;58
3894748;U Did That;2012;2012;Music*Short;;;;English;;USA;;
3894749;U disc;2013;2013;Comedy;;;;Chinese;;China;;
3894750;U Doin;2015;2015;Music*Short;4722;;;English;;USA;;
3894751;U dolini Neretve;1954;1954;Documentary*Short;;;;Serbo-Croatian;;Yugoslavia;;
3894752;U dolini Nila;1955;1955;Documentary*Short;;;;Serbo-Croatian;;Yugoslavia;;
3894753;U dvoristu, u dvoristu igraju se djaci;1968;1968;Documentary*Short;;;;Serbo-Croatian;;Yugoslavia;;
3894754;U elle aime;1995;1995;Adult;;;;French;;France;5.8;
