ID;Title;Year;EndYear;Genre;Budget;Gross;FilmingDays;Language;Locations;Countries;Rating;Duration
3915236;V & A - 1: 1 Terunobu Fujimori;2010;2010;Short;;;;English;;UK;;
3915237;V & A Museum: Helen and Hard Architects;2010;2010;Short;;;;English;;UK;;
3915238;V & A: 1:1 Small Spaces - Vazio S/A;2010;2010;Short;;;;English;;UK;;
3915239;V & A: Medieval & Renaissance;2009;2009;Short;;;;English;;UK;;
3915240;V & A: Rintala Eggertsson;2010;2010;Short;;;;English;;UK;;
3915241;V & A: Rural Studio;2010;2010;Short;;;;English;;UK;;
3915242;V & A: Sou Fujimoto Architects;2010;2010;Short;;;;English;;UK;;
3915243;V & A: Studio Mumbai;2010;2010;Short;;;;English;;UK;;
3915244;V & Me;2014;2014;Music*Mystery*Short;;;;English;;UK;;
3915245;V;1993;1993;Music;;;;;;Japan;;
3915247;V;2003;2003;Short;47;;;Spanish;Adrogu, Buenos Aires, Federal District, Argentina*Buenos Aires, Federal District, Argentina*Capital Federal, Buenos Aires, Federal District, Argentina;Germany*Argentina;7.6;18
3915248;V;2003;2003;Short;;;;;Adrogu, Buenos Aires, Federal District, Argentina*Buenos Aires, Federal District, Argentina*Capital Federal, Buenos Aires, Federal District, Argentina;Germany*Argentina;;
3915249;V;2008;2008;Short;;;;;Terrassa, Barcelona, Catalonia, Spain;Spain;;
3915250;V;2011;2011;Drama*Short;;;;English;Prague, Czech Republic;Czech Republic*Switzerland;;
3915251;V;2012;2012;Horror*Short;;;;English;Beverly Hills, California, USA;USA;;
3915254;V 26-go ne strelyat;1966;1966;War;;;;Russian;;Soviet Union;5.5;
3915255;V = d/t;2008;2008;Documentary*Short;;;;English;;Canada;;
3915256;V Afrike Zharko;1936;1936;Animation*Short;;;;Russian;;Soviet Union;;
3915257;V al paraso;2007;2007;Animation*Comedy*Family*Fantasy*Short;;;;;;Chile;;
3915258;V aniversario del levantamiento armado en Chiapas;1998;1998;Documentary*Short;;;;Spanish;Chiapas, Mexico;Mexico;;
3915259;V atelieto;1984;1984;Documentary*Short;;;;Bulgarian;;Bulgaria;;40
3915260;V avguste 44-go;2001;2001;Action*Drama*Mystery*Thriller*War;4772176;;;Russian*Polish;;Russia*Belarus;7.6;
3915263;V bludisku pamti;1984;1984;Drama;;;;Slovak;;Czechoslovakia;;
3915264;V bolshom gorode;1928;1928;Drama;;;;;;Soviet Union;5.2;
3915265;V boy idut odni 'stariki';1974;1974;Comedy*Drama*War;472233;;;Russian;;Soviet Union;8.6;
3915266;V Centenario de la boda de los Reyes Catlicos;1969;1969;Documentary*Short;;;;;;Spain;;
3915267;V centru filmu - v teple domova;1998;1998;Documentary;;;;Czech*English*Russian;Pupp Hotel, Karlovy Vary, Czech Republic*Thermal Hotel, Karlovy Vary, Czech Republic;Czech Republic;;
3915268;V chetiri tzvyata za edna zemya;1970;1970;Documentary*Short;;;;Bulgarian;;Bulgaria;;12
3915269;V chetverg i bolshe nikogda;1977;1977;Drama*Romance;;;;Russian;;Soviet Union;7.5;
3915272;V daleku dorohu;1989;1989;Drama*Short;;;;Ukrainian;;Ukraine;;
3915273;V dalnem plavanii;1946;1946;Adventure;;;;Russian*Ukrainian;;Soviet Union;8.3;91
3915274;V dalyokom sorok pyatom... Vstrechi na Elbe;2015;2015;Drama;;;;Russian;;Russia;;
3915275;V Day;2012;2012;Comedy*Short;;;;English;;USA;;
3915276;V Day;2013;2013;Drama*Short;;;;English;;UK;;
3915278;V debryakh, gde reki begut...;1987;1987;Drama;;;;Russian;;Soviet Union;;
3915279;V den prazdnika;1978;1978;Drama;;;;Russian;;Soviet Union;5.9;
3915280;V den psa;1994;1994;Drama*Romance;;;;Czech;;Czech Republic;;
3915282;V derevne Zagadkino;1969;1969;Short;;;;Russian;;Soviet Union;;
3915283;V Detectives;2017;2017;Crime*Horror*Mystery*Thriller;;;;English;Tuscany, Italy	*Sofia, Bulgaria;USA*Bulgaria;;
3915285;V dni oktyabrya;1958;1958;Biography*Drama;;;;Russian;;Soviet Union;2.9;
3915286;V dobryy chas!;1956;1956;Drama*Romance;;;;Russian;;Soviet Union;7.9;
3915287;V dobryy chas!;1973;1973;Drama;;;;Russian;;Soviet Union;;
3915288;V dome stras duch;1937;1937;Short;;;;Czech;;Czechoslovakia;;
3915289;V Dreams - Die Zwillinge;2005;2005;Adult;;;;German;;Germany;;
3915290;V Dreams Vol. 2;2005;2005;Adult;;;;German;;Germany;;
