ID;Title;Year;EndYear;Genre;Budget;Gross;FilmingDays;Language;Locations;Countries;Rating;Duration
3934254;W & Joep;2010;2010;Drama*Short;;;;Dutch;Beuningen, Overijssel, Netherlands;Netherlands;;20
3934255;W;1974;1974;Thriller;;;;English;;USA;6.4;
3934258;W;2003;2003;Romance*Short;;;;None;Luxembourg;Luxembourg*France;6.7;
3934259;W;2004;2004;Drama*Short;;;;Portuguese;;Portugal;;37
3934260;W;2010;2010;Drama*Sci-Fi*Short*War;;;;English;;Italy;;
3934264;W;2017;2017;Drama*Short;10000;;;English;;Greece*UK;;
3934265;W 3sixty5;2015;2015;Biography*Documentary*Drama*Music;;;;English;;USA*Argentina*Canada;;
3934266;W and Z;2012;2012;Drama*Short;;;;Hebrew;;Israel;;
3934267;W Andrychowie;1971;1971;Documentary*Short;;;;Polish;;Poland;;
3934268;W bakuny chijo nikudan appaku ecstasy: shima Airu, Mitsuki Yume mutchiri aib agent Airu & Yume;2012;2012;Adult;;;;Japanese;;Japan;;
3934269;W Berlinie zlaczyly sie dlonie;1951;1951;Documentary*Short;;;;Polish;Berlin, Germany;Poland;;
3934270;W bialy dzien;1981;1981;Drama*History;;;;Polish;Krakw, Malopolskie, Poland*Romania;Poland;6.5;
3934271;W chijo: Shibo-lynch;2006;2006;Adult;;;;Japanese;;Japan;;
3934273;W cieniu;2014;2014;Documentary*Short;;;;Polish;;Poland;;
3934274;W cieniu Don Giovanniego;2003;2003;Documentary;;;;Polish;Teatr Wielki, Plac Teatralny, Srdmiescie, Warsaw, Mazowieckie, Poland;Poland;;
3934275;W cieniu Everestu;1998;1998;Biography*Documentary*Short;;;;Polish;;Poland;;
3934276;W cieniu nienawisci;1986;1986;Drama*War;;;;German*Polish;Piotrkw Trybunalski, Ldzkie, Poland*Krakowskie Przedmiescie, Piotrkw Trybunalski, Ldzkie, Poland*Pijarska, Piotrkw Trybunalski, Ldzkie, Poland*Jesuit Church, Piotrkw Trybunalski, Ldzkie, Poland;Poland;5.4;
3934277;W cyrku;1953;1953;Documentary;;;;Polish;;Poland;;
3934278;w Delta z;2007;2007;Crime*Drama*Horror*Thriller;5861459;;;English;Belfast, County Antrim, Northern Ireland, UK*Magheramorne Quarry, Larne, County Antrim, Northern Ireland, UK*Manhattan, New York City, New York, USA*New York City, New York, USA*Washington Heights, Manhattan, New York City, New York, USA*Williamsburg, Brooklyn, New York City, New York, USA;UK;5.7;
3934279;W di Bonatti;2013;2013;Biography*Documentary*Sport;;;;Italian;;Italy;;65
3934280;W Django!;1971;1971;Western;;;;Italian*Hungarian;;Italy;6.1;
3934281;W domu;1976;1976;Short;;;;Polish;Uniejw, Ldzkie, Poland*Ldz, Ldzkie, Poland*Wapienna, Ldz, Ldzkie, Poland;Poland;7.0;
3934282;W drodze;1982;1982;Documentary*Short;;;;Polish;;Poland;;
3934283;W drodze;2005;2005;Documentary*Short;;;;Polish;;Poland;8.0;
3934284;W Drodze;2008;2008;Documentary;;;;Polish;;Poland;;
3934285;W dl kolorowym wzgrzem;2004;2004;Drama;;;;Polish;Stankowice, Dolnoslaskie, Poland*Swieradw-Zdrj, Dolnoslaskie, Poland;Poland;6.1;
3934286;W Eng Ver;2014;2014;Comedy*Short;;;;English;;Italy;;
3934288;W fabryce;1951;1951;Short;;;;Polish;;Poland;;
3934289;W for Bites;2014;2014;Comedy*Short;;;;English;;UK;;
3934290;W gromadzie ducha puszczy;1957;1957;Short;;;;Polish;;Poland;;
3934291;W Hotel Pre Emmy Celebration;2014;2014;News;;;;English;;USA;;
3934292;W hotelu Syrena;2005;2005;Short;1000;;;Polish;;Poland;;9
3934293;W imie...;2013;2013;Drama*Thriller;;;;Polish*English;Warminsko-Mazurskie, Poland;Poland;6.4;
3934294;W imieniu diabla;2011;2011;Drama;;;;Polish;Krosno, Warminsko-Mazurskie, Poland*Orneta, Warminsko-Mazurskie, Poland;Poland;5.4;
3934295;W jednym - o przyjazni, milosci i smierci;2003;2003;Documentary*Short;;;;Polish;;Poland;;
3934296;W klatce;1988;1988;Drama;;;;Polish;Rotunda, Marszalkowska, Srdmiescie, Warsaw, Mazowieckie, Poland*Sciana Wschodnia, Marszalkowska, Srdmiescie, Warsaw, Mazowieckie, Poland*TVP Headquarters, Woronicza, Mokotw, Warsaw, Mazowieckie, Poland*Warsaw, Mazowieckie, Poland;Poland;5.3;
3934297;W kogo ja sie wrodzilem?;2002;2002;Drama;;;;Polish;Gdansk, Pomorskie, Poland*Warsaw, Mazowieckie, Poland;Poland;6.2;
3934298;W kopalni wegla;1935;1935;Documentary*Short;;;;Polish;;Poland;;
3934300;W kregu ciszy;1961;1961;Documentary*Short;;;;Polish;Olsztyn, Warminsko-Mazurskie, Poland;Poland;;
3934301;W kyojo bkun dekashiri benjo kui;2008;2008;Adult;;;;Japanese;;Japan;;
3934302;W kyony no ywaku;2006;2006;Adult;;;;Japanese;;Japan;;
3934303;W la foca;1982;1982;Comedy;;;;Italian;E.U.R., Rome, Lazio, Italy*Elios Studios, Rome, Lazio, Italy*Fiumicino Airport, Fiumicino, Lazio, Italy*Rome, Lazio, Italy;Italy;5.5;
3934304;W La Revolucion;2003;2003;Comedy*Short;2000;;;Italian;;Italy;;
3934305;W le donne;1970;1970;Comedy*Musical;;;;Italian;Cavalieri Hilton Hotel, Rome, Lazio, Italy*Elios Studios, Rome, Lazio, Italy*Fiumicino Airport, Fiumicino, Lazio, Italy*Rome, Lazio, Italy;Italy;5.6;
3934306;W mroku;2005;2005;Short;11314;;;Polish;;Poland;;
3934308;W Nieparyzu I Gdzie Indziej;2000;2000;Comedy*Fantasy;;;;Polish;;Poland;;
3934309;W no higeki;1983;1983;Crime*Mystery;;;;Japanese;;Japan;;
3934310;W no higeki;1984;1984;Drama;;;;Japanese;;Japan;7.1;
3934311;W no higeki;2001;2001;Crime*Mystery;;;;Japanese;;Japan;;
3934312;W no higeki;2010;2010;Mystery;;;;Japanese;Tokyo, Japan;Japan;6.8;
3934313;W obronie wlasnej;1982;1982;Drama;;;;Polish;Poland;Poland;;
3934314;W odzyskanym Toruniu;1918;1918;Documentary*Short;;;;Polish;Torun, Kujawsko-Pomorskie, Poland;Poland;;
3934315;W pogoni za sloncem;2016;2016;Documentary*Short;11993;;;Polish;Poland	*Australia;Poland;;
3934316;W poszukiwaniu utraconych lat;2001;2001;Documentary;;;;Polish*Hebrew;Israel*Warsaw, Mazowieckie, Poland*Wroclaw, Dolnoslaskie, Poland;Poland;;
3934318;W przni;2005;2005;Drama*Short;;;;Polish;;Poland;;
3934319;W pudle;2003;2003;Drama*Short;;;;Polish;;Poland;;
3934320;W pustyni i w puszczy;1973;1973;Adventure*Family;;;;Polish;Bulgaria*Egypt*Sudan;Poland;6.8;
3934321;W pustyni i w puszczy;2001;2001;Adventure*Family;3966755;;84;Polish;Johannesburg, South Africa*Namibia*South Africa*Tunisia;Poland;5.2;
3934322;W rogatywce i tygrysiej skrze;2007;2007;Documentary;;;;Polish*Georgian;;Poland;;
3934324;W shinjin bakuny 3-jikan: Atsuko, Ayano: Kawaii I-cup, eroi hitozuma K-cup;2014;2014;Adult;;;;Japanese;;Japan;;
3934325;W sklepie;2006;2006;Documentary*Short;;;;Polish;;Poland;;
3934326;W spirali;2015;2015;Drama;3305629;;;Polish*English;Poland;Poland;4.8;
3934327;W srodku Europy;1990;1990;Drama;;;;Polish;;Poland;;
3934328;W srodku lata;1976;1976;Drama;;;;Polish;;Poland;;
3934329;W starym dworku czyli niepodleglosc trjkatw;1984;1984;Drama*Horror;;;;Polish;Poland;Poland;6.5;
