ID;Title;Year;EndYear;Genre;Budget;Gross;FilmingDays;Language;Locations;Countries;Rating;Duration
3969250;X & the Wildmen;2003;2003;Drama*Short;10000;;;English;;Netherlands;6.0;
3969251;X;1963;1963;Horror*Sci-Fi*Thriller;236116;;;English;Las Vegas, Nevada, USA*Los Angeles, California, USA;USA;6.7;
3969252;X;1983;1983;Drama*Romance;;;;Korean;;South Korea;;
3969253;X;1986;1986;Drama;;;;Norwegian;Oslo, Norway;Norway;6.5;
3969254;X;2001;2001;Short;;;;None;;France;;8
3969255;X;2002;2002;Crime*Thriller;;178380;;Spanish;;Spain;5.9;
3969256;X;2005;2005;Animation*Short;15000;;;German;;Germany;5.6;
3969257;X;2008;2008;Short;;;;English;;USA;7.1;
3969258;X;2009;2009;Horror;9445;;;English;Club Rio, 5054 W. 38th St., Indianapolis, Indiana, USA	*Gary, Indiana, USA;USA;;
3969259;X;2011;2011;Crime*Drama*Thriller;;;;English;Kings Cross, Sydney, New South Wales, Australia;Australia;5.6;
3969265;X;2014;2014;Action*Animation*Mystery*Sci-Fi*Short;;;;;;USA;;
3969266;X;2016;2016;Drama*Short;;;;English;;;;
3969267;X;2016;2016;Drama*Short;;;;;;;;
3969270;X + YY: Formel des Bsen;1970;1970;Thriller;;;;German;;West Germany;;
3969271;X - Skinis afta pou 'kapsan to sanidi;2010;2010;Musical;;;;Greek;;Greece;8.3;
3969272;X - The Last Moment;2011;2011;Action;;;;Indonesian;;Indonesia;;
3969273;X = o;1939;1939;Drama;;;;English;;UK;;
3969274;X Amat: Special Blacks;2008;2008;Adult;;;;French;;France;;
3969275;X chiama Y;1967;1967;Documentary;;;;Italian;;Italy;;
3969276;X Children of a Lost Generation;2014;2014;Documentary*History*News;;;;;;USA;;
3969277;X Confident;2013;2013;Comedy*Short;11334;;;English;West Hollywood, California, USA;USA;4.9;11
3969278;X Day: The Invasion of Japan;2005;2005;Documentary;;;;English*Japanese;;USA;7.7;98
3969279;X Densha de Iko;1987;1987;Comedy*Sci-Fi;;;;Japanese;;Japan;6.4;
3969280;X Deporte;2005;2005;Short*Sport;;;;Spanish;Buenos Aires, Federal District, Argentina;Argentina;;10
3969282;X Direct;2001;2001;Comedy*Drama*Short;8066;;;Danish;rhus, Jylland, Denmark;Denmark;6.2;10
3969283;X distantes;2008;2008;Short;;;;Spanish;;Cuba;;4
3969284;X Dreams;1992;1992;Adult*Fantasy;;;;English;;USA;6.0;50
3969285;X Factor;1984;1984;Adult;;;;English;San Francisco, California, USA;USA;6.0;90
3969286;X Factor;2000;2000;Adventure;;;;English;Fremont, California, USA*Pleasanton, California, USA;USA;;170
3969287;X Factor;2012;2012;Short;;;;English;;UK;;
3969288;X Factor World Premiere Preview;2011;2011;Reality-TV;;;;English;;USA;;
3969290;X Factor: The Next Generation;1991;1991;Adult;;;;English;;USA;4.9;
3969291;X File: 1214;2015;2015;Short*Thriller;11;;;English;;Australia;;
3969293;X Fire;2000;2000;Action*Animation;;;;English;;Japan*USA;4.9;
3969294;X Games 3D: The Movie;2009;2009;Documentary*Sport;;1314161;;English;Aberdeen, Washington, USA*Aspen, Colorado, USA*Florida, USA*Georgia, USA*Los Angeles, California, USA*San Diego, California, USA;USA;6.4;92
3969295;X Games Los Angeles;2012;2012;Sport;;;;English;Los Angeles, California, USA;USA;;
3969296;X Games with DJ Ratchet;2011;2011;Comedy*Short;;;;English;;USA;;
3969297;X Girlfriend;2014;2014;Comedy*Drama*Romance;27487;;;Telugu;;India;;
3969298;X Girls;2001;2001;Adult;;;;English;;USA;5.5;
3969299;X gmu;2010;2010;Horror;;;;Japanese;;Japan;5.3;
