ID;Title;Year;EndYear;Genre;Budget;Gross;FilmingDays;Language;Locations;Countries;Rating;Duration
3971148;Y;1992;1992;Drama;;;;Spanish;;Colombia;6.6;
3971149;Y;2000;2000;Short;7620;;;;;UK;4.5;
3971152;y;2014;2014;Short;35;;;English;Bournemouth, Dorset, England, UK;UK;;
3971153;Y;2016;2016;Drama*Short;;;;French;;France;;
3971154;y;2016;2016;Thriller;;;;Malayalam;;India;;
3971155;Y - DCNXTR;2016;2016;Music*Short;;;;;;;;
3971156;Y a des jours;2000;2000;Comedy*Short;;;;French;;France;;
3971157;Y a des limites;2014;2014;Comedy;;;;French;;France;;
3971158;Y a Dios que me perdone!;2016;2016;Drama;;;;Spanish;;Dominican Republic;;
3971159;Y a du Coeur Au Programme;1972;1972;Documentary*Short;;;;English*French;;Canada;;
3971160;Y a du foutage de gueule dans l'air;1996;1996;Comedy*Short;;;;French;;France;4.3;19
3971161;Y a pas de lzard;1995;1995;Drama;;;;French;;Belgium*France;;92
3971162;Y a pas de lzard;2015;2015;Short;;;;French;Lyon, France;France;;
3971163;Y a pas moyen de dormir;1909;1909;Comedy*Short;;;;French;;France;;
3971164;Y a tellement de pays pour aller;1983;1983;Documentary;;;;French;;France;;
3971165;Y a-t-il un Franais dans la salle?;1982;1982;Comedy*Crime;;;;French;Assemble Nationale, Paris 7, Paris, France	*Nanterre, Hauts-de-Seine, France	*Palais-Royal, Place du Palais Royal, Paris 1, Paris, France	*Grand Canal, Venice, Veneto, Italy*Santa Maria della Salute, Venice, Veneto, Italy;France;5.9;
3971166;Y a-t-il un pirate sur l'antenne?;1983;1983;Comedy;;;;French;Antibes, Alpes-Maritimes, France*Paris, France*Villeneuve-les-Avignon, Gard, France;France;2.9;
3971167;Y a-t-il un terroriste dans l'avion?;2003;2003;Documentary*Short;;;;French;Benin*New York, USA*Paris, France*Philadelphia, Pennsylvania, USA;France;;
3971168;Y a-t-il une htesse dans l'Avion?;2015;2015;Comedy*Short;;;;French;;;;
3971169;Y a-t-il une vierge encore vivante?;2015;2015;Fantasy*Short;;;;French;;France;;
3971170;Y afuera est lloviendo;2000;2000;Drama*Short;;;;Spanish;Argentina;Argentina;;2
3971171;Y al Tercer Da;2013;2013;Comedy*Short;2550;;;Spanish;Asuncin, Paraguay;Paraguay;;
3971173;Y aqui seguimos... Tsacaa 'tyaya;2010;2010;Short;;;;Spanish;Mexico;Mexico;;
3971174;Y aqu no pas nada;1991;1991;Comedy*Short;;;;Spanish;Madrid, Spain;Spain;;14
3971176;Y Chwarelwr;1935;1935;Drama;;;;Welsh;;UK;;
