ID;Title;EpisodeTitle;Season;Episode;Year;EndYear;Budget (EUR);Gross (EUR);FilmingDays;Keywords;Language;Rating;Duration
828419;Game of Thrones;;0;0;2011;0;;;;;English;9.5;
828420;Game of Thrones;;7;1;2011;2011;;;;;;;
828421;Game of Thrones;;7;2;2011;2011;;;;;;;
828422;Game of Thrones;;7;3;2011;2011;;;;;English;;
828423;Game of Thrones;;7;4;2011;2011;;;;;English;;
828424;Game of Thrones;;7;5;2011;2011;;;;;;;
828425;Game of Thrones;;7;6;2011;2011;;;;;;;
828426;Game of Thrones;;7;7;2011;2011;;;;;;;
828427;Game of Thrones;;8;1;2011;2011;;;;;;;
828428;Game of Thrones;;8;2;2011;2011;;;;;;;
828429;Game of Thrones;;8;2;2011;2011;;;;;;;
828430;Game of Thrones;;8;3;2011;2011;;;;;;;
828431;Game of Thrones;;8;4;2011;2011;;;;;;;
828432;Game of Thrones;;8;5;2011;2011;;;;;;;
828433;Game of Thrones;;8;6;2011;2011;;;;;;;
828434;Game of Thrones;A Golden Crown;1;6;2011;2011;7033750;;148;armor*bare-chested-male*beating*book*bribery*brutality*bully*color-in-episode-title*colour-in-episode-title*declaration-of-love*dragon*dragon's-egg*drawing-a-sword*dream*duel*eating-a-heart*eating-a-heart-raw*execution*face-slap*fall-from-height*feast*fencing-lesson*fight*gold*gushing-blood*helmet*hole-in-the-floor*horse-drawn-cart*kiss*man-slapping-a-woman*molten-gold-poured-on-head*queen*raven*ritual*roast-pork*sex-scene*shot-in-the-back*shot-with-an-arrow*soldier*spear*sword*sword-fight*trapdoor*trial-by-combat*violence*woman-flashing-her-crotch;English;9.1;
828435;Game of Thrones;A Man Without Honor;2;7;2011;2011;7033750;;;abuse*bare-butt*blood*body-hanging-from-a-rope*burned-body*cage*corporal-punishment*crying-woman*doppelganger*double-child-murder*erection*execution*fire*held-captive*jail*loyalty*male-rear-nudity*male-virgin*man-refusing-sex*manhunt*masked-woman*menarche*menstrual-blood*menstruation*nightmare*prison*refusing-sex*sexual-innuendo*snowy-landscape*talking-about-sex*theft*throat-slitting*touching-breasts*virgin*virginity;English;8.9;
828436;Game of Thrones;And Now His Watch Is Ended;3;4;2011;2011;4689167;;;axe*blind-loyalty*cave*cleavage*climbing-a-tree*crawling-in-mud*dragon*falling-off-horse*females-talking-about-sex*forest*funeral*horse*human-cargo*ill-treated-prisoner*lair*males-talking-about-sex*murder*mutiny*prayer*prisoner-of-war*prying-open-a-crate*secret-lair*sexcapade*shipping-crate*soldier*sorcerer*talking-about-sex*tortured-prisoners*warrior*wooden-crate*writing-a-letter;English;9.5;
828437;Game of Thrones;Baelor;1;9;2011;2011;7033750;;148;armor*blood-splatter*brother-brother-relationship*brutality*capture*carrier-pigeon*confession*decapitation*execution-by-decapitation*falling-off-a-horse*father-son-relationship*fight*helmet*in-laws*jail*killing-a-horse*loyalty*magic-spell*main-character-dies*negotiation*one-word-episode-title*oversleeping*prison*prisoner*prostitute*public-execution*public-humiliation*queen*raven*returning-character-killed-off*river-crossing*sex-scene*soldier*spear*sword*violence*wilhelm-scream;English;9.6;
828438;Game of Thrones;Battle of the Bastards;6;9;2011;2011;11722917;;;archer*bastard*battle*beard*bite*blood*bloody-face*body-armor*brother*candle*catapult*cruelty*crypt*dead-body*deal*dragon*dwarf*eunuch*fantasy-world*fire*flag*flying*horn*horse*hound*knife*licking*lord*loss*mad-queen*queen*running*screaming*shield*ship*sibling*sister*smiling*snow*sunrise*sword*translator*wildling;English;9.9;
828439;Game of Thrones;Blackwater;2;9;2011;2011;7555723;;;archery*axe*bare-butt*battering-ram*battle*boy-king*breasts*castle*color-in-episode-title*colour-in-episode-title*cut-on-face*decapitation*drinking-wine*dwarf*explosion*female-frontal-nudity*female-full-frontal-nudity*female-nudity*female-rear-nudity*fire*head-cut-in-half*horse*inferno*king*map*one-word-episode-title*poison*prostitute*queen*secret-tunnel*siege*sitting-on-someone's-lap*sword;English;9.7;
828440;Game of Thrones;Blood of My Blood;6;6;2011;2011;;;;actor*army*baby*body-armor*candle*carriage*comeback*crown*crying*dinner*dragon*drinking*fire*flashback*forest*horse*incest*king*kiss*parody*play*prison*queen*religion*riding*screaming*smiling*snow*sword*theater*wildling*wine;English;8.3;
828441;Game of Thrones;Book of the Stranger;6;4;2011;2011;;;;beard*breasts*crying*drinking*dungeon*dwarf*eunuch*female-nudity*fire*flame*foreign-language*king*prostitute*queen*slave*snow*sparrow;English;9.2;
828442;Game of Thrones;Breaker of Chains;4;3;2011;2011;8206042;;;army*bisexual*brother-rapes-sister*cannibalism*conspiracy*corruption*cunnilingus*duel*escape*female-leader*freedom*group-sex*kiss*lesbian-kiss*lesbian-sex*loyalty*male-pubic-hair*male-rear-nudity*murder*necklace*oral-sex*orgy*prayer*prince*prostitute*pubic-hair*rabbit-stew*rape*saying-grace*ship*slave*stew*theft;English;8.8;
